name,location,longitude,latitude
Fundacja Jan Paweł II,Radzymin,52.4110478,21.1992212
Polskie Towarzystwo Gimnastyczne Sokół im. Jana Pawła II w Dobrkowie,Dobrków,49.9832616,21.3144871
Uczniowski Klub Sportowy przy Gimnazjum im. Papieża Jana Pawła II,Czyżew,52.7980911,22.3223673
Uczniowski Klub Sportowy Athletic Basket przy Gimnazjum im. Jana Pawła II,Miastko,54.005311,16.968206
Uczniowski Klub Sportowy w Świdnicy przy Zespole Szkół im. Jana Pawła II,Świdnica,51.892922,15.398226
Uczniowski Klub Sportowy Orzeł z siedzibą w Publicznej Szkole Podstawowej im. Jana Pawła II w Psarach,Psary,50.618308,18.9690899
Szkolny Związek Sportowy przy Publicznym Gimnazjum im. Jana Pawła II w Mikstacie,Mikstat,51.5336,17.9758
Ludowy Uczniowski Klub Sportowy Czarni przy Gimnazjum im. Jana Pawła II,Czarna Białostocka,53.2983519,23.2886649
Ludowy Klub Sportowy Smolik przy Zespole Szkół Nr 1 im. Jana Pawła II w Męcinie,Męcina,49.6784453,20.5536819
Uczniowski Klub Sportowy Libero Łebień z siedzibą Zespół Szkół im. Jana Pawła II,Łebień,54.6494336,17.7165914
Uczniowski Klub Sportowy Pawłów z siedzibą w Gimnazjum im. Jana Pawła II w Pawłowie,Pawłów,50.962238,21.119891
Uczniowski Klub Sportowy Olimp przy Zespole Szkół im. Jana Pawła II w Brzostku,Brzostek,49.8604728,21.4095855
Uczniowski Klub Sportowy z siedzibą przy Szkole Podstawowej Nr 2 im. Jana Pawła II,Świeradów-Zdrój,50.926851,15.307106
Uczniowski Klub Sportowy Junior przy Gimnazjum im. Jana Pawła II w Ryczywole,Ryczywół,52.815816,16.8234583
Uczniowski Klub Sportowy Talent przy Katolickich Szkołach Niepublicznych im. Jana Pawła II,Pruszcz Gdański,54.262655,18.63376
Uczniowski Klub Sportowy w Krośnie Działający przy Szkole Podstawowej Nr 5 im. Jana Pawła II,Krosno,49.6681193,21.7646079
Uczniowski Klub Sportowy Olimpik przy Gimnazjum im. Jana Pawła II w Jeżowie,Jeżów,51.8133999,19.973304
Uczniowski Klub Sportowy Dwójka przy Gimnazjum Nr 2 im. Jana Pawła II,Sulechów,52.0851674,15.6283478
Uczniowski Klub Sportowy przy Publicznym Gimnazjum Nr 2 im. Jana Pawła II w Pułtusku,Pułtusk,52.6912842,21.1081319
Uczniowski Klub Sportowy Sokół przy Publicznym Gimnazjum im. Jana Pawła II w Tuszowie Narodowym,Tuszów Narodowy,50.369166,21.4563369
Katolicki Klub Sportowy Alpin im. Jana Pawła II przy Parafii Rzymsko-Katolickiej pw. Świętego Józefa w Rzeszowie,Rzeszów,50.0526548,22.0044996
Uczniowski Klub Sportowy Gryf przy Gimnazjum im. Jana Pawła II w Nożynie,Nożyno,54.315109,17.4933729
Uczniowski Klub Sportowy Olimp przy Gimnazjum im. Jana Pawła II w Nowej Sarzynie,Nowa Sarzyna,50.320557,22.3440549
Uczniowski Klub Sportowy Orbik przy Szkole Podstawowej im. Jana Pawła II w Borkach,Borki,51.7198757,22.521848
Fundacja im. Świętej Królowej Jadwigi dla Uniwersytetu Papieskiego Jana Pawła II w Krakowie,Kraków,50.0530016,19.9370399
Uczniowski Klub Sportowy Topspin 51 Lublin w Szkole Podstawowej Nr 51 im. Jana Pawła II w Lublinie,Lublin,51.222911,22.5183232
Stowarzyszenie Grupa Rowerowa im. Jana Pawła II,Kościan,52.077079,16.6279979
Centrum Jana Pawła II,Lublin,51.2461193,22.5689082
Stowarzyszenie Pamięć Jana Pawła II,Rejowiec Fabryczny,51.1147549,23.2400759
Fundacja imienia Jana Pawła II,Wałbrzych,50.8226664,16.2815167
Chór Dekanalny im. Świętego Jana Pawła II,Kielno,54.4541843,18.3428553
Instytut Kultury Chrześcijańskiej im. Jana Pawła II,Olsztyn,53.7779598,20.4871346
Stowarzyszenie Chór im. Jana Pawła II,Nowy Sącz,49.5982373,20.6932245
Malborskie Stowarzyszenie Społeczno-Kulturalne im. Jana Pawła II,Malbork,54.0280843,19.0437093
Fundacja Miłości przy Centrum im. Jana Pawła II w Chodzieży,Chodzież,52.97734,16.914805
Stowarzyszenie Krzewienia Kultury Medialnej im. Jana Pawła II,Zamość,50.7172486,23.2702827
Światowe Stowarzyszenie Kultury Chrześcijańskiej im. Jana Pawła II,Krynica-Zdrój,49.3997682,20.9528577
Społeczny Komitet Budowy Szkoły - Pomnika Jana Pawła II,Bydgoszcz,53.1178268,17.9965078
Towarzystwo Kultury Narodoworeligijnej Polska Bogiem Silna im. Jana Pawła II,Zielona Góra,51.9381489,15.532677
Stowarzyszenie Przyjaciół Muzeum Kolekcji im. Jana Pawła II,Warszawa,52.2419279,21.0030559
Stowarzyszenie Orkiestra Dęta im. Jana Pawła II w Kałuszynie,Kałuszyn,52.209098,21.809995
Stowarzyszenie Chóralne Ziemi Wielickiej im. Jana Pawła II w Strumianach,Strumiany,50.0107125,20.1020059
Stowarzyszenie na rzecz Zachowania Dziedzictwa Jana Pawła II Pamięć i Wdzięczność w likwidacji,Świdnica,50.8407529,16.4851114
Polskie Stowarzyszenie Sztuki Medalierskiej przy Muzeum Monet i Medali Jana Pawła II w Częstochowie,Częstochowa,50.784095,19.126264
Stowarzyszenie Oświatowo - Kulturalne Przy Szkole Podstawowej im. Jana Pawła II w Mściowie,Mściów,50.711894,21.8071346
Katolickie Centrum Edukacji i Kultury im. Jana Pawła II w Śremie,Śrem,52.077191,17.027551
Fundacja Pamięć i Tożsamość im. Jana Pawła II - Międzynarodowe Centrum Młodzieży w Lubaczowie,Lubaczów,50.157274,23.12485
Fundacja im. Świętej Królowej Jadwigi dla Uniwersytetu Papieskiego Jana Pawła II w Krakowie,Kraków,50.0530016,19.9370399
"Stowarzyszenie Pomocy Ludziom Starszym, Chorym i Pokrzywdzonym im. Jana Pawła II",Jelenia Góra,50.901716,15.7391824
Podlaska Rodzina Szkół im. Jana Pawła II,Białystok,53.12811600000001,23.182496
Stowarzyszenie Edukacyjne im. Bł. Jana Pawła II,Olsztyn,53.791068,20.4923769
Fundacja Edukacyjna im. Świętego Jana Pawła II,Murowana Goślina,52.5737449,17.0079539
Stowarzyszenie Oratorium im. Jana Pawła II,Czerwińsk nad Wisłą,52.395281,20.3093979
Stowarzyszenie Przyjaciół Gimnazjum Im. Jana Pawła II w Ryczywole,Ryczywół,52.815816,16.8234583
Stowarzyszenie Przyjaciół Podkarpackiej Rodziny Szkół im. Jana Pawła II,Jasionka,50.11887,22.044
Fundacja Pomocy Młodzieży im. Św. Jana Pawła II Wzrastanie,Przeworsk,50.058056,22.479568
Harcerska Gromada Wilków im. Św. Jana Pawła II,Gdynia,54.471603,18.5032949
Stowarzyszenie Przyjaciół Zespołu Szkół im. Jana Pawła II w Jutrosinie,Jutrosin,51.650689,17.1693329
Fundacja Wychowanie i Profilaktyka im. Jana Pawła II,Busko-Zdrój,50.4715468,20.7220768
Stowarzyszenie Przyjaciół Gimnazjum Im. Jana Pawła II w Sulęcinie Gimsul,Sulęcin,52.4439273,15.1142803
Towarzystwo Przyjaciół Zespołu Szkół im. Jana Pawła II w Brzostku,Klecie,49.861387,21.416442
