name,location,longitude,latitude
Zespół Szkół Ogólnokształcących i Zawodowych im. Jana Pawła II,Gryfów Śląski,51.03152,15.4167789
Szkoła Podstawowa nr 2 im. Papieża Jana Pawła II,Kamieniec Ząbkowicki,50.53794,16.8962663
VI Liceum Ogólnokształcące im. Jana Pawła II w Legnicy - zlikwidowane,Legnica,51.2012365,16.1894829
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół Publicznych,Lubiąż,51.26834,16.4694056
Szkoła Podstawowa nr 1 im. Jana Pawła II,Lwówek Śląski,51.11374,15.5730388
Szkoła Podstawowa nr 2 im. Jana Pawła II w Piechowicach,Piechowice,50.8492,15.6067078
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkolno - Przedszkolnym im. Jana Pawła II,Rokitki,51.3409101,15.8995255
Szkoła Podstawowa im. Jana Pawła II,Szklary Dolne,51.4258968,16.0405435
Szkoła Podstawowa nr 2 im. Jana Pawła II,Twardogóra,51.36484,17.4617827
Szkoła Podstawowa nr 51 im. Jana Pawła II,Wrocław,51.15072,16.8599829
Szkoła Podstawowa nr 3 im. Jana Pawła II w Sycowie,Syców,51.30888,17.7186428
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Środa Śląska,51.162,16.5964122
Katolicka Szkoła Podstawowa Caritas Diecezji Świdnickiej im. Jana Pawła II - zlikwidowana 2019,Wiry,50.83604,16.6438218
Gimnazjum nr 2 z Oddziałami Integracyjnymi im Jana Pawła II - zlikwidowana 2019,Zgorzelec,51.13218,15.0083068
Zespół Szkolno Przedszkolny im. Jana Pawła II,Długołęka,51.1751032,17.1888149
Szkoła Podstawowa im. Jana Pawła II,Łagiewniki,50.79206,16.8331697
Szkoła Podstawowa im. Jana Pawła II w Przedmościu,Przedmoście,51.6287567,16.1599864
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Wińsko,51.46966,16.6084099
Gimnazjum nr 4 im. Ojca Świętego Jana Pawła II - zlikwidowana,Wrocław,51.12062,17.033789
Szkoła Podstawowa im. Jana Pawła II,Żelowice,50.7277562,16.9081692
II Liceum Ogólnokształcące im. Jana Pawła II,Dzierżoniów,50.72978,16.6496899
Publiczna Szkoła Podstawowa im. Jana Pawła II,Kostrza,50.9822034,16.2663922
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Żarów,50.93572,16.4889853
Publiczne Gimnazjum Nr 1 im. Jana Pawła II - zlikwidowane 2019,Brzeg Dolny,51.26982,16.7058726
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Iwiny,51.21728,15.7173302
Szkoła Podstawowa im. Jana Pawła II,Mietków,50.9800707,16.6531469
Gimnazjum nr 1 im. Jana Pawła II - zlikwidowane w 2019,Polkowice,51.50996,16.0770854
Gimnazjum nr 2 im. Jana Pawła II - zlikwidowane w 2019,Strzegom,50.96844,16.3487029
Zespół Szkoły Podstawowej i Gimnazjum im. Jana Pawła II,Sulików,51.07786,15.0644314
Publiczne Przedszkole nr 2 z Oddziałami Integracyjnymi im. Jana Pawła II,Świebodzice,50.8652,16.3139591
Gimnazjum Miejskie im. Jana Pawła II - zlikwidowane w 2019,Jedlina Zdrój,50.71684,16.3421957
Szkoła Podstawowa im. Jana Pawła II,Lubomierz,51.01026,15.5084897
Gimnazjum nr 1 im. Jana Pawła II - zlikwidowane w 2019,Chojnów,51.2725234,15.9294715
Szkoła Podstawowa nr 7 im. Jana Pawła II,Oleśnica,51.2055,17.3825343
Niepubliczna Szkoła Podstawowa Sióstr Salezjanek im. Jana Pawła II,Wrocław,51.10686,17.030303
Powiatowy Zespół Szkół im. Jana Pawła II,Żmigród,51.46334,16.9035869
Szkoła Podstawowa im. Jana Pawła II,Grodziszcze,50.7981437,16.5605569
Szkoła Podstawowa nr 4 im. Jana Pawła II,Oława,50.94554,17.2840257
Szkoła Podstawowa nr 2 im. Jana Pawła II,Kłodzko,50.45404,16.663663
Gimnazjum im. Jana Pawła II - zlikwidowana 2019,Goczałków,51.0017324548697,16.32820451348984
Szkoła Podstawowa im. Jana Pawła II,Domaniów,50.89272,17.1334305
Szkoła Podstawowa im. Jana Pawła II,Ujazd Górny,51.0832236,16.5040913
III Liceum Ogólnokształcące im. Jana Pawła II,Lubin,51.40134,16.2081009
Szkoła Podstawowa im. Papieża Jana Pawła II - zlikwidowana 2018,Czernica,51.04696,17.248178
Zespół Szkół Publicznych im. Jana Pawła II,Kudowa Zdrój,50.43768,16.2435128
Ośrodek Szkolno-Wychowawczy im. Jana Pawła II,Strzelin,50.7776,17.0606893
Zespół Szkół im. Jana Pawła II,Lutynia,51.1348,16.7819255
Szkoła Podstawowa im. Jana Pawła II,Rudna,51.5110833,16.2603909
Publiczna Szkoła Podstawowa nr 28 im. Jana Pawła II,Wałbrzych,50.76822,16.2835147
Zespół Szkół Społecznych im. Jana Pawła II,Jelenia Góra,50.8438499,15.6424209
Zespół Szkół im. Jana Pawła II w Osiecznicy,Osiecznica,51.32658,15.4201196
Szkoła Podstawowa im. Jana Pawła II,Jerzmanowa,51.59616,16.0437069
Gimnazjum im. Jana Pawła II - zlikwidowane w 2019,Nielubia,51.6400234,15.9972023
Szkoła Podstawowa im. Jana Pawła II,Wojcieszyce,50.8823556442976,15.638550201649265
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkolno-Przedszkolnym,Wilczków,50.9680496,16.9840737
Przedszkole nr 41 im. Jana Pawła II,Wrocław,51.11128,17.0155166
Przedszkole Miejskie im. Jana Pawła II,Stronie Śląskie,50.29656,16.8756989
Szkoła Podstawowa nr 2 im Jana Pawła II,Świeradów Zdrój,50.92688,15.3071151
Szkoła Podstawowa nr 3 im. Jana Pawła II,Lubań,51.10418,15.2922706
Niepubliczny Specjalny Ośrodek Szkolno-Wychowawczy dla Dzieci przy ZOL im. Jana Pawła II,Jaszkotle,51.05682,16.9022506
Szkoła Podstawowa im. Jana Pawła II,Gierałtów,51.20449,15.3130748
Zespół Szkół Ekonomicznych im. Jana Pawła II,Głogów,51.66270428634344,16.09788360956226
Szkoła Podstawowa im. Jana Pawła II,Jaworów,50.8003366,17.3089904
Szkoła Podstawowa im. Karola Wojtyły,Osiek,50.8826166,17.2926718
Szkoła Podstawowa im. Jana Pawła II,Pielgrzymka,51.12004,15.8177851
Zespół Szkolno-Przedszkolny nr 3 im. Jana Pawła II,Rzeplin,51.0036,17.01942
Szkoła Podstawowa im. Jana Pawła II,Smolnik,51.0230434,15.2601779
Gimnazjum im. Jana Pawła II - zlikwidowane w 2019,Sułów,51.50223,17.1736925
Szkoła Podstawowa im. Jana Pawła II,Tuszyn,50.7981834,16.646788
Publiczne Gimnazjum nr 7 im. Jana Pawła II - zlikwidowane 2019,Wałbrzych,50.82356,16.2738701
Szkoła Podstawowa im. Jana Pawła II,Zagrodno,51.1860899,15.8720258
Liceum Ogólnokształcące im. Jana Pawła II,Złotoryja,51.12612,15.9124009
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Cieszków,51.62712,17.3549368
Szkoła Podstawowa nr 2 w Bolesławcu,Bolesławiec,51.26366,15.5711506
Publiczna Szkoła Podstawowa nr 3 im. Jana Pawła II,Oborniki Śląskie,51.29882,16.9185186
Regionalna Szkoła Turystyczna Technikum im. Jana Pawła II,Polanica-Zdrój,50.40164,16.5086812
Szkoła Podstawowa nr 1 w Olszynie,Olszyna,51.06552,15.3759055
Szkoła Podstawowa im. Jana Pawła II,Psary,51.1875099,17.0312831
Publiczna Szkoła Podstawowa im. Jana Pawła II,Kuropatnik,50.74934,17.1071112
Centrum Kształcenia i Wychowania OHP w Oleśnicy,Oleśnica,51.2087,17.3766081
Szkoła Podstawowa im. Św. Jana Pawła II w Dziadowej Kłodzie,Dziadowa Kłoda,51.23352,17.7095211
Przedszkole Publiczne  im. św. Jana Pawła II,Siechnice,51.02702,17.1545208
Szkoła Podstawowa im. św. Jana Pawła II,Stare Bogaczowice,50.849211,16.195332
