name;location;longitude;latitude
Zespół Szkół im. Jana Pawła II;Łochowo;53.12154;17.8380964
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Mrocza;53.24172;17.5986372
Szkoła Podstawowa nr 3 im. Jana Pawła II w Zespole Szkolno-Przedszkolnym nr 2;Rypin;53.06296;19.4163248
Szkoła Podstawowa nr 13 im. Jana Pawła II;Toruń;53.01078522816698;18.58709506774655
Publiczna Szkoła Podstawowa im. Jana Pawła II;Wielki Komorsk;53.58076;18.6711051
Szkoła Podstawowa nr 2 im. Jana Pawła II;Koronowo;53.31208;17.9479054
Szkoła Podstawowa nr 5 im. Papieża Jana Pawła II;Chełmża;53.17928;18.5933383
Szkoła Podstawowa im. Jana Pawła II w Gostycynie;Gostycyn;53.48956;17.8052408
Szkoła Podstawowa im. Jana Pawła II w Lubaniu;Lubanie;52.74898;18.9189597
Szkoła Podstawowa im. Jana Pawła II;Obrowo;52.970042499723846;18.876354626191592
Szkoła Podstawowa im. Jana Pawła II;Więsławice;52.49446;19.1870912
Gimnazjum im. Jana Pawła II i Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół nr 2;Grębocin;53.0529;18.7222912
Gimnazjum im. Jana Pawła II - zlikwidowane w 2019 r.;Korytowo;53.39392611491299;18.198594757646205
Szkoła Podstawowa im. Jana Pawła II;Gruczno;53.34804;18.3145164
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Gruczno;53.34804;18.3145164
Zespół Szkół im. Jana Pawła II;Paterek;53.11492;17.6032852
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Choceń;52.48556;19.0220872
Szkoła Podstawowa nr 5 im. Jana Pawła II;Lipno;52.8408;19.1782891
Szkoła Podstawowa im. Jana Pawła II;Mała Nieszawka;52.990255240471846;18.548030966626182
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Osiek nad Notecią;53.11687243126874;17.29286294661275
Szkoła Podstawowa im. św. Jana Pawła II w Brąchnowie;Brąchnowo;53.13592;18.5387533
Zespół Szkół Ponadgimnazjalnych nr 1 im. Jana Pawła II;Inowrocław;52.75386;18.2569102
Szkoła Podstawowa im. Jana Pawła II;Boguszewo;53.42373177332867;19.007507427806445
Zespół Szkół Ponadgimnazjalnych im. Jana Pawła II;Kościelec;52.7924989205197;18.161686355680224
Szkoła Podstawowa im. Jana Pawła II;Bobrowo;53.28862718424644;19.27644016734359
Gimnazjum im. Jana Pawła II - zlikwidowane w 2019 r.;Żalinowo;52.75408;18.1910248
Szkoła Podstawowa im. Jana Pawła II w Sztynwagu;Sztynwag;53.40838;18.6945194
Szkoła Podstawowa nr 16 im. Jana Pawła II;Inowrocław;52.80066;18.2799469
Szkoła Podstawowa nr 2 im. Jana Pawła II;Wąbrzeźno;53.2766;18.9466444
