name;location;longitude;latitude
Szkoła Podstawowa nr 1 im. Jana Pawła II w Aleksandrowie Łódzkim;Aleksandrów Łódzki;51.81536;19.3100599
Zespół Szkolno-Przedszkolny im. Jana Pawła II w Bedoniu Wsi;Bedoń;51.74246;19.6487829
Szkoła Podstawowa im. Jana Pawła II;Dąbrowa nad Czarną;51.3166;19.9718479
Publiczna Szkoła Podstawowa im. Jana Pawła II;Kamieńsk;51.19594;19.4970547
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Kamieńsk;51.19594;19.4970547
Szkoła Podstawowa nr 7  im Jana Pawła II z Oddziałami Integracyjnymi w Łowiczu;Łowicz;52.09936;19.9247288
Szkoła Podstawowa nr 3 im. Kardynała Karola Wojtyły-Papieża Polaka;Łowicz;52.1193;19.9452381
Katolickie Liceum Ogólnokształcące im. Jana Pawła II;Łódź;51.79768;19.3691476
Szkoła Podstawowa im. Jana Pawła II;Prusinowice;51.46622;19.1300951
Publiczne Gimnazjum nr 1 im. Jana Pawła II w Zespole Szkolno-Gimnazjalnym nr 1 - zlikwidowane;Radomsko;51.0624;19.4502261
Szkoła Podstawowa im. Jana Pawła II;Mroczków Gościnny;51.37944;20.3894707
Szkoła Podstawowa im. Jana Pawła II;Gidle;50.96728;19.4707645
Publiczne Katolickie Liceum Ogólnokształcące im. Jana Pawła II;Głowno;51.95952;19.7305586
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół Ogólnokształcących;Godzianów;51.8933;20.0376462
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Jeżów;51.81308;19.9732133
Liceum Ogólnokształcące im. Jana Pawła II w Zespole Szkół Ponadgimnazjalnych;Tuszyn;51.60238;19.5505648
Szkoła Podstawowa im. Jana Pawła II;Ustków;51.766;18.6004265
Szkoła Podstawowa im. Jana Pawła II;Brąszewice;51.50054;18.4442827
Szkoła Podstawowa nr 9 z Oddziałami Integracyjnymi im. Jana Pawła II;Zduńska Wola;51.605;18.9471673
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Dobryszyce;51.14674;19.412984
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Zawada;51.52796;19.9270528
Publiczna Szkoła Podstawowa im. Jana Pawła II;Sławno;51.3892897;20.1383468
Zespół Szkół Katolickich im. Jana Pawła II w Łodzi;Łódź;51.79768;19.3691476
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Drzewica;51.45148;20.4700554
Zespół Gimnazjum oraz Szkoły Podstawowej i Przedszkola im. Jana Pawła II;Czechy;51.60534;18.9038828
Technikum nr 19 im. Karola Wojtyły w CKZiU w Łodzi;Łódź;51.75556;19.4482798
Szkoła Podstawowa nr 2 im. Świętego Jana Pawła II;Ozorków;51.9552;19.2861227
Szkoła Podstawowa nr 12 im. Jana Pawła II;Tomaszów Mazowiecki;51.52512;20.0210005
Szkoła Podstawowa nr 202 im. Jana Pawła II;Łódź;51.79288;19.5874293
Przedszkole nr 9 im. Jana Pawła II;Tomaszów Mazowiecki;51.5132;20.0414808
Szkoła Podstawowa im. Jana Pawła II w Witowie-Koloni;Witów - Kolonia;51.37418;19.7600734
Zespół Szkół Stowarzyszenia Rozwoju Wsi Waliszew i Okolic im. Jana Pawła II;Stary Waliszew;52.03756;19.6358266
Szkoła Podstawowa im. Jana Pawła II;Gruszczyce;51.61;18.4683942
Szkoła Podstawowa nr 3 im. Jana Pawła II;Wieruszów;51.2958634;18.1684149
Szkoła Podstawowa im. Jana Pawła II;Góra Św. Małgorzaty;52.05592;19.3205179
Szkoła Podstawowa nr 2 im. Jana Pawła II w Pabianicach;Pabianice;51.66026;19.3347814
Szkoła Podstawowa im. Jana Pawła II;Domaniewice;52.00746;19.8089355
Katolickie Gimnazjum im. Jana Pawła II Stowarzyszenia Przyjaciół Szkół Katolickich - zlikwidowane 2019;Piotrków Trybunalski;51.40958;19.6940137
Publiczne Gimnazjum nr 32 im. Karola Wojtyły - zlikwidowane 2019;Łódź;51.75592;19.472217
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Gidle;50.96728;19.4707645
Katolickie Liceum Ogólnokształcące im. Jana Pawła II Stowarzyszenia Przyjaciół Szkół Katolickich - zlikwidowane 2019;Piotrków Trybunalski;51.40958;19.6940137
II Liceum Ogólnokształcące im. Jana Pawła II;Zduńska Wola;51.60224;18.9274423
Szkoła Podstawowa Gminy Sieradz im. Jana Pawła II;Sieradz;51.58622;18.7138086
Szkoła Podstawowa;Galewice;51.34412;18.2587985
Przedszkole nr 10 im. Jana Pawła II Zgromadzenia Córek Bożej Miłości;Pabianice;51.6643832;19.3718523
Szkoła Podstawowa im. Jana Pawła II;Bedlno;51.18998;20.2620865
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Działoszyn;51.12008;18.8724216
Gimnazjum nr 2 im. Jana Pawła II w Zespole Szkół - zlikwidowane 2019;Sadkowice;51.7281968;20.5219923
Szkoła Podstawowa im. Jana Pawła II;Rychłocice;51.3938902;18.8215992
Zespół Szkół im. Jana Pawła II;Sokolniki;51.95346;19.3516885
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Rozprza;51.30414;19.64306
Szkoła Podstawowa im. Papieża Jana Pawła II;Bogdanów;51.3490902;19.5092267
Zespół Szkół Samorządowych im. Jana Pawła II Wielkiego;Załęcze Małe;51.08238;18.7377168
Przedszkole Niepubliczne im. Jana Pawła II (Zgromadzenie Sióstr Służebniczek NPNMP);Piotrków Trybunalski;51.41028;19.6927065
Zespół Szkół Ponadgimnazjalnych im. Jana Pawła II w Poddębicach;Poddębice;51.8882332;18.956568
Szkoła Podstawowa nr 1 im. Jana Pawła II w Łęczycy;Łęczyca;52.0578837;19.1975353
Przedszkole im. Jana Pawła II;Piątek;52.06914;19.4835174
Publiczna Szkoła Podstawowa im. Jana Pawła II;Brzustów;51.494477;20.1428778
Katolicka Szkoła Podstawowa Stowarzyszenia Przyjaciół Szkół Katolickich im. Jana Pawła II;Chojny;51.3459035;18.5214654
Zespół Szkolno-Gimnazjalny im. Jana Pawła II;Grotniki;51.89294;19.3117738
Szkoła Podstawowa im. Jana Pawła II w Komornikach;Komorniki;51.5373234;19.8353191
Szkoła Podstawowa im. Jana Pawła II w Sierzchowach;Sierzchowy;51.6679514;20.3228012
