name,location,longitude,latitude
Katolickie Liceum Ogólnokształcące im. Papieża Jana Pawła II,Biłgoraj,50.52362,22.711873
Katolickie Przedszkole Im. Św. Jana Pawła II ,Biłgoraj,50.52362,22.711873
Publiczna Szkoła Podstawowa im. Jana Pawła II,Kocudza,50.67066,22.6214113
Gimnazjum nr 3 im. Jana Pawła II - zlikwidowane 2019,Hrubieszów,50.79962,23.8904315
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowana 2019,Janów Podlaski,52.19548,23.2085408
Zespół Szkół im. Jana Pawła II,Krasnobród,50.53718,23.2165005
Szkoła Podstawowa nr 51 im. Jana Pawła II,Lublin,51.22368,22.5179933
IV Liceum Ogólnokształcące im. Jana Pawła II w Zespole Szkół nr 4,Łuków,51.92272,22.3757064
Szkoła Podstawowa im. Jana Pawła II,Mętów,51.15502,22.5842273
Szkoła Podstawowa nr 3 z Oddziałami Integracyjnymi im. Jana Pawła II w Zespole Szkół Sportowych,Międzyrzec Podlaski,51.99186,22.7838589
Szkoła Podstawowa im. Jana Pawła II,Rokitno,52.12154,23.2901132
Szkoła Podstawowa im. Jana Pawła II,Zaburze,50.72552,22.8493957
Szkoła Podstawowa im. Jana Pawła II w Zamchu,Zamch,50.31206,23.0219527
Szkoła Podstawowa im. Papieża Jana Pawła II,Bełżec,50.3828,23.4251957
Szkoła Podstawowa nr 4 im. Papieża Jana Pawła II,Łęczna,51.2917027,22.8844996
Samorządowa Szkoła Podstawowa im. Jana Pawła II,Gózd Lipiński,50.4442,22.5535214
Szkoła Podstawowa nr 4 im. Jana Pawła II,Lubartów,51.47954,22.5979098
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowana 2019,Trzeszczany,50.81926,23.7310341
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Poniatowa,51.1896,22.0627798
Szkoła Podstawowa w Spiczynie,Spiczyn,51.33974,22.755477
Gimnazjum Publiczne im. Jana Pawła II - zlikwidowane 2019,Rejowiec Fabryczny,51.12156,23.244098
Ośrodek Szkolno-Wychowawczy dla Dzieci i Młodzieży Niesłyszącej i Słabosłyszącej im. Jana Pawła II,Lublin,51.2285,22.6034874
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Batorz,50.84978,22.4932427
Szkoła Podstawowa im. Jana Pawła II,Stare Kobiałki,51.94926,22.0304471
Gimnazjum nr 3 im. Papieża Jana Pawła II - zlikwidowane 2019,Zamość,50.72794,23.2488332
Szkoła Podstawowa im. Papieża Jana Pawła II,Podhorce,50.4863,23.5252149
Szkoła Podstawowa nr 15 im. Jana Pawła II,Lublin,51.23004,22.5861446
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowana 2019,Stróża,50.9016096,22.2777498
Szkoła Podstawowa im. Jana Pawła II,Mieniany,50.7307,23.9463818
Publiczne Gimnazjum nr 6 im. Jana Pawła II - zlikwidowane 2019,Biała Podlaska,52.04496,23.1059943
Szkoła Podstawowa im. Jana Pawła II,Kaplonosy,51.60428,23.3384234
Katolicki Uniwersytet Lubelski Jana Pawła II,Lublin,51.24802,22.5449517
Szkoła Podstawowa im. Papieża Jana Pawła II,Płoskie,50.71418,23.185998
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Turobin,50.82512,22.7456
Gimnazjum nr 1 im. Jana Pawła II z Oddziałami Integracyjnymi - zlikwidowana 2019,Chełm,51.1359169,23.4917644
Zespół Placówek Szkolnych im. Jana Pawła II,Przewłoka,51.64738,23.0056847
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowana 2019,Dębowica,51.94796,22.4415918
Gimnazjum Publiczne im. Jana Pawła II - zlikwidowane 2019,Wilków,51.2543832,21.872331
Gimnazjum im. Jana Pawła II w Zespole Szkół - zlikwidowane 2019,Puchaczów,51.3079,22.973933
Państwowa Szkoła Wyższa im. Papieża Jana Pawła II,Biała Podlaska,52.02368,23.1587782
Szkoła Podstawowa im. Jana Pawła II,Antoniówka,50.95638,22.9144096
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Żyrzyn,51.4922,22.1071682
Zespół Szkół im. Jana Pawła II,Ulan-Majorat,51.81304,22.4798797
Szkoła Podstawowa im. Jana Pawła II,Role,51.9723169,22.4153717
Zespół Szkół nr 5 im. Jana Pawła II,Lublin,51.26778,22.5529114
Szkoła Podstawowa im. Jana Pawła II,Ostrów Lubelski,51.49684,22.8553219
Szkoła Podstawowa im. Papieża Jana Pawła II w Szarowoli,Szarowola,50.49654,23.3480389
Szkoła Podstawowa im. Jana Pawła II,Steniatyn,50.51112,23.7880012
Gimnazjum nr 2 im. Papieża Jana Pawła II - zlikwidowane 2019,Tomaszów Lubelski,50.45242,23.4043959
Publiczne Gimnazjum im. Papieża Jana Pawła II - zlikwidowane 2019,Łaszczów,50.53076,23.7183102
Szkoła Podstawowa im. Jana Pawła II w Łukowej,Łukowa,50.37432,22.9295156
Gimnazjum nr 1 im. Jana Pawła II - zlikwidowane 2109,Świdnik,51.21774,22.7059758
Zespół Szkół im. Jana Pawła II,Potoczek,50.75596,22.2211313
Szkoła Podstawowa im. Jana Pawła II (filia SP w Rokitnie) - zlikwidowane 01.09.2009,Klonownica Duża,52.14272,23.2065073
Szkoła Podstawowa im. Jana Pawła II (filia SP w Rokitnie) - zlikwidowane 01.09.2010,Michałki,52.0786035,23.317304
Zespół Szkół im. Jana Pawła II,Annopol,50.88324,21.8597493
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowana 2019,Janów Lubelski,50.70686,22.4200367
Zespół Szkół Publicznych im. Papieża Jana Pawła II,Moniatycze,50.86376,23.869835
Zespół Szkół Samorządowych im. Jana Pawła II w Tereszpolu-Zaorendzie,Tereszpol-Zaorenda,50.5792,22.875744
Szkoła Podstawowa im. Papieża Jana Pawła II,Uchanie,50.90748,23.6497522
Zespół Placówek Oświatowych im. Jana Pawła II,Gościeradów,50.86588,21.9930598
Szkoła Podstawowa im. Jana Pawła II,Dorohucza,51.16272,23.0094031
Zespół Szkoły Podstawowej i Przedszkola im. Jana Pawła II,Hańsk,51.40382,23.4112227
Zespół Szkół nr 4 im. Jana Pawła II,Krasnystaw,50.98098,23.1653144
Publiczna Szkoła Podstawowa nr 6 im. Jana Pawła II,Kraśnik,50.9638,22.1653263
Szkoła Podstawowa im. Jana Pawła II,Orchówek,51.52482,23.5673083
Zespół Szkół im. Jana Pawła II,Poizdów,51.6304,22.3463659
Zespół Szkół Ponadgimnazjalnych im. Jana Pawła II,Radzyń Podlaski,51.77646,22.6176348
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Wola Uhruska,51.32366,23.6198598
Szkoła Podstawowa im. Jana Pawła II,Wola Radzięcka,50.66472,22.7312203
Zespół Oświatowy im. Jana Pawła II,Brzozowica Duża,51.94992,22.6088326
Akademickie Liceum Ogólnokształcące Państwowej Szkoły Wyższej im. Papieża Jana Pawła II,Biała Podlaska,52.02368,23.1587782
Publiczna Szkoła Podstawowa im. Jana Pawła II,Honiatycze,50.6975,23.6690995
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowana 2019,Honiatycze,50.6975,23.6690995
Niepubliczne Przedszkole Sióstr Nazaretanek im. Jana Pawła II,Łuków,51.93466,22.3804125
Gimnazjum im. Jana Pawła II w Zespole Szkół - zlikwidowane 2019,Mętów,51.15502,22.5842273
Szkoła Podstawowa w Miączynie,Miączyn,50.73718,23.4993023
Zespół Szkół im. Jana Pawła II w Ulanie-Majoracie Szkoła Filialna w Sętkach,Sętki,51.83474,22.4236389
Zespół Szkół im. Papieża Jana Pawła II w Płoskiem Szkoła Filialna w Siedliskach - zlikwidowane 2017,Siedliska,50.7319634,23.1628268
Gimnazjum im. Jana Pawła II w Zespole Szkół - zlikwidowane,Księżpol,50.42458,22.7365655
Zespół Szkół Placówek Oświatowych im. Jana Pawła II,Stojeszyn Pierwszy,50.7597,22.2690348
Szkoła Podstawowa im. Jana Pawła II,Księżpol,50.42458,22.7365655
Publiczna Szkoła Podstawowa im. Jana Pawła II,Wólka Ratajska,50.73292,22.4596609
Szkoła Podstawowa im. bł. Jana Pawła II,Łuszczów Drugi,51.29508,22.7402839
