name;location;longitude;latitude
Społeczne Gimnazjum Katolickie im. Jana Pawła II - zlikwidowane 2019;Świebodzin;52.25156;15.5337923
Społeczna Szkoła Podstawowa im. Jana Pawła II;Świebodzin;52.25156;15.5337923
Szkoła Podstawowa nr 3 im. Jana Pawła II we Wschowie;Wschowa;51.8104;16.306958
Katolicka Szkoła Podstawowa i Katolickie Gimnazjum oraz Katolickie Liceum Ogólnokształcące im. Jana Pawła II;Żary;51.63484;15.1465558
Zespół Szkół Ponadgimnazjalnych nr 4 im. Jana Pawła II;Nowa Sól;51.79774;15.6804076
Szkoła Podstawowa nr 21 im. Karola Wojtyły;Zielona Góra;51.9362;15.5549697
Publiczna Szkoła Podstawowa nr 3 im. Jana Pawła II;Żagań;51.59748;15.3342478
Szkoła Podstawowa im. Jana Pawła II;Szlichtyngowa;51.71222;16.248277
Szkoła Podstawowa im. Jana Pawła II;Lubczyno;52.67294;15.1333671
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Przytoczna;52.5722;15.6802624
Szkoła Podstawowa nr 1 im. Jana Pawła II;Sulęcin;52.44226;15.1160823
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Bojadła;51.9552;15.8151415
Szkoła Podstawowa im. Jana Pawła II w Świdnicy z Punktem Filialnym w Koźli;Świdnica;51.89294;15.3981869
Szkoła Podstawowa nr 2 im. Jana Pawła II;Sulechów;52.08538;15.6284081
Zachodnia Wyższa Szkoła Handlu i Finansów Międzynarodowych im. Jana Pawła II - zlikwidowana 2019;Zielona Góra;51.93628;15.5042484
Gimnazjum nr 8  im. Karola Wojtyły w Zespole Edukacyjnym nr 3 - zlikwidowane 2019;Zielona Góra;51.9362;15.5549697
Zespół Kształcenia Specjalnego nr 1 im. Karola Wojtyły - zlikwidowany w 2019;Gorzów Wielkopolski;52.73398;15.2439604
Publiczna Szkoła Podstawowa im. Jana Pawła II;Chichy;51.60308;15.4798174
Zespół Szkół Technicznych im. Jana Pawła II;Zbąszynek;52.24336;15.8203705
Publiczna Szkoła Podstawowa im. Jana Pawła II;Borów Wielki;51.67548;15.6293668
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Iłowa;51.50228;15.2045686
Samorządowe Gimnazjum im. Jana Pawła II - zlikwidowane w 2019;Kożuchów;51.74724;15.5770187
Publiczne Gimnazjum im. Jana Pawła II w Zespole Szkół - zlikwidowane 2019;Małomice;51.55458;15.4408613
Publiczna Szkoła Podstawowa im. Jana Pawła II;Zabór;51.9557;15.7179983
Szkoła Podstawowa im. Jana Pawła II w Koźli - klasy 1-3 (filia SP w Świdnicy);Koźla;51.8767;15.3144938
Gimnazjum im. Jana Pawła II;Kargowa;52.0724;15.8627835
Szkoła Podstawowa im. Jana Pawła II;Ciecierzyce;52.70318;15.3403193
Katolicka Szkoła Podstawowa im. św. Jana Pawła II;Gorzów Wielkopolski;52.75726;15.2606932
Specjalny Ośrodek Szkolno-Wychowawczy im. Jana Pawła II;Lubsko;51.78394;14.968886
Zespół Szkół im. Jana Pawła II;Różanki;52.7992287;15.326534
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Czerwieńsk;52.0056297;15.4187561
Szkoła Podstawowa im. Jana Pawła II w Lubiszynie;Lubiszyn;52.7775973;14.9481657
Szkoła Podstawowa im. Jana Pawła II;Bobrowice;51.952877;15.0854466
Szkoła Podstawowa im. Jana Pawła II;Szczawno;52.0231505;15.2161626
Szkoła Podstawowa im. Jana Pawła II;Smardzewo;52.198017;15.6912692
Szkoła Podstawowa im. Jana Pawła II;Białków;52.1703962;14.8005689
