name,location,longitude,latitude
Publiczna Szkoła Podstawowa nr 7 im. Jana Pawła II,Bochnia,49.9652,20.40998
Szkoła Podstawowa nr 6 im. Jana Pawła II,Chrzanów,50.13492,19.4202465
Publiczna Szkoła Podstawowa nr 1 im. Jana Pawła II,Dąbrowa Tarnowska,50.1723,20.9879588
Szkoła Podstawowa im. Jana Pawła II,Gaj,49.96058,19.9000363
Szkoła Podstawowa im. Jana Pawła II,Gołcza,50.33702,19.9291735
Szkoła Podstawowa im. Jana Pawła II,Gołkowice Górne,49.54342,20.576117
Szkoła Podstawowa im. Jana Pawła II w Zespole Placówek Oświatowych,Harbutowice,49.81004,19.7774453
Szkoła Podstawowa im. Jana Pawła II,Jadowniki Mokre,50.16676,20.7308373
Szkoła Podstawowa im. Jana Pawła II,Joniny,49.88596,21.1749246
Publiczna Szkoła Podstawowa im. Jana Pawła II,Jurków,49.8521928,20.692
Szkoła Podstawowa im. Ojca Świętego Jana Pawła II,Kacwin,49.3753,20.2948549
Szkoła Podstawowa nr 3 im. Jana Pawła II,Kasinka Mała,49.72954,20.0906624
Szkoła Podstawowa im. Św. Franciszka z Asyżu w Łabowej,Łabowa,49.52808,20.8558394
Centrum Kształcenia Zawodowego i Ustawicznego im. św. Jana Pawła II w Łapanowie,Łapanów,49.86588,20.291456
Szkoła Podstawowa nr 2 im. Jana Pawła II,Muszyna,49.33292,20.9093786
Szkoła Podstawowa nr 3 im. Jana Pawła II,Myślenice,49.83234,19.9280115
Szkoła Podstawowa im. Ojca Świętego Jana Pawła II,Niegowić,49.9378,20.2423325
Zespól Szkół im. Ojca Świętego Jana Pawła II,Niepołomice,50.0359,20.216478
Szkoła Podstawowa Nr 21 z Oddziałami Integracyjnymi im. Świętego Jana Pawła II,Nowy Sącz,49.61184,20.7192463
Szkoła Podstawowa nr 3 im. Jana Pawła II,Nowy Targ,49.50038,20.0429042
Zespół Placówek Oświatowych im. Jana Pawła II,Podobin,49.63512,20.0679163
Szkoła Podstawowa im. Jana Pawła II,Podole Górowa,49.7553,20.7751095
Zespół Szkół Centrum Kształcenia Ustawicznego im. św. Jana Pawła II,Radocza,49.9142,19.4817454
Zespół Katolickich Szkół im. Jana Pawła II,Skawina,49.97596,19.8273532
Szkoła Podstawowa nr 1 im. Jana Pawła II w Skrzyszowie,Skrzyszów,49.99602,21.0575045
Zespół Szkoły Podstawowej i Przedszkola im. Jana Pawła II,Słopnice,49.66182,20.3428455
Szkoła Podstawowa nr 3 im. Ojca Świętego Jana Pawła II,Spytkowice,49.56848,19.781919
Szkoła Podstawowa nr 1 im. Jana Pawła II,Stanisław Dolny,49.89186,19.6427986
Szkoła Podstawowa nr 1  im. Jana Pawła II,Sułoszowa,50.27016,19.7240514
Szkoła Podstawowa im. Jana Pawła II,Szlachtowa,49.41372,20.5255409
Szkoła Podstawowa nr 23 im. Jana Pawła II,Tarnów,50.0271,21.0024548
Szkoła Podstawowa nr 8 im. Jana Pawła II,Trzebinia,50.16054,19.4775912
Szkoła Podstawowa im Jana Pawła II,Wołowice,49.99398,19.7310815
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Ząb,49.34252,19.9519196
Szkoła Podstawowa im. Jana Pawła II,Breń,50.1162366,21.0157735
Publiczna Szkoła Podstawowa nr 2 im. św. Jana Pawła II i Kardynała Stefana Wyszyńskiego,Jadowniki,49.97966,20.6427286
Gimnazjum nr 2 im. Jana Pawła II - zlikwidowane 2019 r,Myślenice,49.83234,19.9280115
Gimnazjum nr 1 im. Ojca Świętego Jana Pawła II - zlikwidowane 2019,Raba Wyżna,49.56474,19.8749662
Szkoła Podstawowa im. Jana Pawła II,Skrzydlna,49.7521,20.1761566
Katolicka Szkoła Podstawowa im. Jana Pawła II - zlikwidowana 2019,Zakopane,49.29042,19.9590369
Szkoła Podstawowa im. Jana Pawła II,Krościenko n. Dunajcem,49.43868,20.3961522
Szkoła Podstawowa im. Jana Pawła II,Zabawa,50.1251277,20.800967
Gimnazjum nr 1 im. Ojca Świętego Jana Pawła II - zlikwidowane 2019,Radgoszcz,50.20582,21.1124962
Publiczne Gimnazjum nr 2 im. Papieża Jana Pawła II - zlikwidowane 2019,Przeginia,50.23598,19.6892205
Publiczna Szkoła Podstawowa im. Jana Pawła II,Gnojnik,49.89582,20.6062128
Gimnazjum nr 29 im. Jana Pawła II - zlikwidowane 2019,Kraków,50.01266,20.0169916
Szkoła Podstawowa nr 1 im. Jana Pawła II,Wadowice,49.87232,19.4980715
