name;location;longitude;latitude
Publiczna Szkoła Podstawowa im. Jana Pawła II;Stara Błotnica;51.54604;20.9747701
Publiczna Szkoła Podstawowa Nr 2 im. Papieża Jana Pawła II w Chorzelach;Chorzele;53.252;20.8988915
Szkoła Podstawowa im. Jana Pawła II;Leoncin;52.3965;20.5364347
Szkoła Podstawowa im. Jana Pawła II;Leszczydół-Nowiny;52.64766;21.4561577
Publiczna Szkoła Podstawowa im. Jana Pawła II;Mokobody;52.26782;22.1119905
Publiczna Szkoła Podstawowa im. Papieża Jana Pawła II;Nagoszewka;52.76022;21.7876763
Gimnazjum im. Papieża Jana Pawła II - zlikwidowane 2019;Olszewo-Borki;53.06508;21.5274173
Szkoła Podstawowa nr 10 im. Jana Pawła II;Ostrołęka;53.07312;21.5896715
Szkoła Podstawowa im. Jana Pawła II w Paprotni;Paprotnia;52.21178;20.433772
Publiczna Szkoła Podstawowa nr 14 Integracyjna im. Jana Pawła II;Radom;51.3775;21.1289675
Szkoła Podstawowa nr 11 im. Jana Pawła II;Siedlce;52.17482;22.2810034
Szkoła Podstawowa z Oddziałami Integracyjnymi nr 2 im. Jana Pawła II;Warszawa;52.2013;20.8687376
Szkoła Przymierza Rodzin im. Jana Pawła II;Warszawa;52.15156;21.0558777
Szkoła podstawowa nr 366 im. Jana Pawła II;Warszawa;52.33048;20.9447615
Szkoła Podstawowa nr 380 z Oddziałami Dwujęzycznymi im Jana Pawła II;Warszawa;52.29442;21.0466108
Szkoła Podstawowa Nr 2 im. Jana Pawła II;Węgrów;52.39846;22.0236494
Publiczne Gimnazjum im. Jana Pawła II Zlikwidowana 2019;Chlewiska;51.24246;20.757999
Publiczna Szkoła Podstawowa im. Jana Pawła II;Taczowska Wola;51.45016;21.0418756
Szkoła Podstawowa im. Jana Pawła II;Otwock Wielki;52.05508;21.2487116
Szkoła Podstawowa nr 1 im. Jana Pawła II;Sochaczew;52.22532;20.2411705
Publiczna Szkoła Podstawowa im. Jana Pawła II;Odrzywół;51.5223;20.5543876
Publiczna Szkoła Podstawowa z Oddziałami Integracyjnymi i Sportowymi nr 5 im. Jana Pawła II;Pionki;51.48102;21.4568258
Publiczna Szkoła Podstawowa nr 4 im. Jana Pawła II - zlikwidowana;Warka;51.78774;21.2013601
Zespół Szkół nr 1 im. Jana Pawła II;Przysucha;51.3604;20.6328807
Szkoła Podstawowa im. Jana Pawła II;Krusze;52.44084;21.3646211
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Ciepielów;51.24814;21.5752627
Zespół Placówek Oświatowych im. Papieża Jana Pawła II;Dylewo;53.18706;21.4524393
Niepubliczna Szkoła Podstawowa im. Jana Pawła II;Legionowo;52.39194;20.9259952
Szkoła Podstawowa nr 2 im. Jana Pawła II w Zespole Szkół nr 2;Łaskarzew;51.78862;21.6000423
Szkoła Podstawowa nr 9 im. Jana Pawła II;Otwock;52.11258;21.3346706
Publiczna Szkoła Podstawowa im. Papieża Jana Pawła II;Kruszew;51.91866;20.7866714
Gimnazjum im. Papieża Jana Pawła II - zlikwidowane 2019;Sońsk;52.78432;20.6932466
Zespół Szkolno-Przedszkolny;Staroźreby;52.63376;19.9894813
Szkoła Podstawowa nr 4 im. Papieża Jana Pawła II;Płońsk;52.63326;20.370472
