name;location;longitude;latitude
Szkoła Podstawowa im. Jana Pawła II;Grabin;50.59578;17.5193888
Publiczna Szkoła Podstawowa im. Jana Pawła II;Tułowice;50.59566;17.652525
Publiczna Szkoła Podstawowa im. Jana Pawła II;Lubsza;50.91618;17.5193888
Zespół Szkół im. Jana Pawła II Szkoła Podstawowa;Pietrowice;50.1273791;17.6926644
Zespół Szkół im. Jana Pawła II;Zdzieszowice;50.42632;18.1264757
Publiczna Szkoła Podstawowa im. Jana Pawła II;Żywocice;50.45806;17.9708839
Publiczna Szkoła Podstawowa w Szymiszowie;Szymiszów;50.53658;18.2197843
Zespół Szkolno Przedszkolny - Publiczna Szkoła Podstawowa im. Jana Pawła II, Publiczne Przedszkole im. Jana Pawła II;Baborów;50.15908;17.9871519
Publiczne Gimnazjum nr 2 im Jana Pawła II - zlikwidowane 2019;Prudnik;50.3209;17.5715045
Publiczna Szkoła Podstawowa im. Jana Pawła II;Dalachów;51.07621647344183;18.58981461024274
Publiczne Gimnazjum nr 3 im. Jana Pawła II w Zespole Szkół - zlikwidowane;Kluczbork;50.97796;18.2160369
Publiczna Szkoła Podstawowa im. Jana Pawła II w Zespole Szkolno - Przedszkolnym;Mąkoszyce;50.94104;17.6347754
Publiczne Gimnazjum im. Jana Pawła II w Zespole Gimnazjalno-Szkolno-Przedszkolnym - zlikwidowane 2019;Polska Cerekiew;50.22966;18.1247037
Zespół Szkolno - Przedszkolny im. Jana Pawła II;Boguszyce;50.5917166;17.9327797
Publiczne Gimnazjum im. Ojca Świętego Jana Pawła II - zlikwidowane 2019;Praszka;51.0518;18.4512257
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół;Wołczyn;51.01872;18.0448452
Katolickie Przedszkole Publiczne im. Jana Pawła II Sióstr Maryi Niepokalanej;Branice;50.05334;17.797194
Publiczne Gimnazjum im. Jana Pawła II Zlikwidowana 2019;Dobrodzień;50.7245;18.4466939
Publiczna Szkoła Podstawowa im. Jana Pawła II;Kietrz;50.07908;18.0125707
Publiczna Szkoła Podstawowa im. Jana Pawła II;Szczedrzyk;50.6974;18.1559324
Publiczna Szkoła Podstawowa im. Jana Pawła II;Paczków;50.4638;17.0103457
Publiczna Szkoła Podstawowa im. Jana Pawła II;Staniszcze Wielkie;50.66227715822797;18.354530256411685
Zespół Szkół Budowlanych im. Papieża Jana Pawła II;Opole;50.6652;17.9009315
Publiczna Szkoła Podstawowa im. Jana Pawła II Stowarzyszenia Przyjaciół Szkół Katolickich w Michałowicach;Michałowice;50.89312;17.4820596
Publiczna Szkoła Podstawowa im. Jana Pawła II w Naroku;Narok;50.74284;17.7887404
Szkoła Podstawowa im. Jana Pawła II w Tłustomostach (Filia SP w Baborowie) - zlikwidowane;Tłustomosty;50.1114;18.0623914
Publiczna Szkoła Podstawowa im. Jana Pawła II;Roszowicki Las;50.2615;18.2199296
