name;location;longitude;latitude
Szkoła Podstawowa im. Św. Jana Pawła II w Gliniku;Glinik;49.9709772;21.5814203
Zespół Szkół im. Jana Pawła II w Brzostku;Brzostek;49.86002;21.4100263
Szkoła Podstawowa nr 2 im. Ojca Świętego Jana Pawła II;Chmielnik;49.99272;22.1069648
Szkoła Podstawowa im. Jana Pawła II w Cyganach;Cygany;50.51108;21.7063072
Szkoła Podstawowa nr 2 im. Jana Pawła II;Gorzyce;50.6573952;21.8462638
Zespół Szkół im. Jana Pawła II;Grodzisko Dolne;50.1638;22.4609972
Szkoła Podstawowa im. Jana Pawła II;Jabłonka;49.6931565;22.1069755
Szkoła Podstawowa im. Jana Pawła II w Jaworniku Polskim;Jawornik Polski;49.89188;22.2877139
Szkoła Podstawowa im. Jana Pawła II;Klimkówka;49.5815;21.8250927
Gimnazjum nr 2 im. Jana Pawła II - zlikwidowane 2019;Kolbuszowa;50.24228;21.7685614
Zespół Szkół im. Jana Pawła II;Konieczkowa;49.8424;21.9256057
Szkoła Podstawowa im. Jana Pawła II;Kraczkowa;50.03846;22.1614336
Szkoła Podstawowa nr 5 im. Jana Pawła II;Krosno;49.6683;21.7643491
Publiczna Szkoła Podstawowa im. Jana Pawła II;Krościenko Wyżne;49.6764;21.8291597
Szkoła Podstawowa im. Ojca Świętego Jana Pawła II;Krówniki;49.77008;22.8286249
Zespole Szkół Społecznych im. Jana Pawła II w Lipnicy Dolnej;Lipnica Dolna k/Jasła;49.855778812435766;20.564059889294903
Szkoła Podstawowa nr 4 im. Jana Pawła II;Łańcut;50.09004;22.2348139
Publiczna Szkoła Podstawowa w Łukawcu;Łukawiec;50.1041;22.0804422
Szkoła Podstawowa im. Jana Pawła II;Niepla;49.78326;21.6100936
Publiczna Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół;Nowosielec;50.4478;22.1539387
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Nowa Sarzyna;50.32052;22.3440709
Szkoła Podstawowa im. Jana Pawła II;Oleszyce;50.16796;23.0295347
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół;Orzechowce;49.84678;22.7611418
Szkoła Podstawowa im. Jana Pawła II;Piątkowa;49.8767904;22.1540308
Szkoła Podstawowa im. Jana Pawła II;Piwoda;50.07258;22.754286
Publiczna Szkoła Podstawowa im. Jana Pawła II;Pysznica;50.56874;22.133807
Szkoła Podstawowa nr 1 im. Jana Pawła II;Przeworsk;50.06144;22.4907734
Zespół Szkół Ogólnokształcących im. Jana Pawła II Sióstr Prezentek Szkoła Podstawowa im. św. Jana Pawła II Sióstr Prezentek Liceum Ogólnokształcące im. Jana Pawła II Sióstr Prezentek;Rzeszów;50.03958;21.9975625
Szkoła Podstawowa nr 23 im. Jana Pawła II;Rzeszów;50.02032;22.008311
Szkoła Podstawowa nr 6 im. Jana Pawła II;Sanok;49.54862;22.2382999
Publiczna Szkoła Podstawowa nr 12 im. Jana Pawła II;Stalowa Wola;50.58184;22.0612111
Szkoła Podstawowa im. Jana Pawła II;Świebodna;49.89778;22.4334578
Szkoła Podstawowa nr 9 im. Jana Pawła II;Tarnobrzeg;50.5858;21.6861175
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Tyczyn;49.96556;22.0297499
Publiczna Szkoła Podstawowa im. Św. Jana Pawła II;Ulanów;50.49148;22.2706906
Szkoła Podstawowa im. św. Jana Pawła II;Wara;49.7545;22.2004768
Publiczna Szkoła Podstawowa im. Jana Pawła II;Wola Ociecka;50.1601;21.5409256
Szkoła Podstawowa im. Jana Pawła II;Zarzecze;49.9505297;21.913579
Szkoła Podstawowa im. Jana Pawła II;Zawóz;49.33556;22.442899
Szkoła Podstawowa im. Jana Pawła II - zlikwidowana 2009;Huta Gogołowska;49.8744;21.526052
Szkoła Podstawowa im. Jana Pawła II;Kupno;50.19822;21.8254994
Szkoła Podstawowa im. Jana Pawła II;Lubatowa;49.53988;21.7624318
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Lubatowa;49.53988;21.7624318
Szkoła Podstawowa im. Jana Pawła II;Łęki Dukielskie;49.60516;21.6690361
Zespól Szkół im. Jana Pawła II;Łowisko;50.30292;22.1806356
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Medynia Głogowska;50.15726;22.1370025
Szkoła Podstawowa i Gimnazjum im. Jana Pawła II;Wilcza Wola;50.36266;21.9096282
Gimnazjum im. Jana Pawła II w Zespole Szkół - zlikwidowane 2019;Wysoka Głogowska;50.15598;22.0225746
Publiczna Szkoła Podstawowa im. Jana Pawła II;Zabrnie Dolne;50.5973698;21.8539424
Szkoła Podstawowa im. Jana Pawła II;Zagorzyce;50.0192041;21.6764433
Zespół Szkół im. Jana Pawła II;Sokołów;50.23672;22.12332
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Jodłowa;49.87772;21.3086418
Szkoła Podstawowa im. Św. Jana Pawła II;Radomyśl Wielki;50.19704;21.2699472
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Tarnawa Dolna;49.46818;22.2528539
Zespół Szkolno - Przedszkolny w Ślęzakach;Ślęzaki;50.466;21.6404799
