name,location,longitude,latitude
Szkoła Podstawowa im. Jana Pawła II,Brusy,53.88382,17.7194852
Szkoła Podstawowa nr 2 im. Jana Pawła II,Czersk,53.7954,17.9697219
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół,Damnica,54.50014,17.275485
Zespół Szkół Ogólnokształcących nr 8 im. Jana Pawła II,Gdańsk,54.40166,18.6048421
Zespół Szkół Katolickich im. Jana Pawła II,Gdynia,54.5527,18.5090642
Katolickie Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Kartuzy,54.33362,18.2030806
Szkoła Podstawowa nr 3 im. Jana Pawła II w ZSO nr 7,Gdańsk,54.34014,18.6222721
Publiczna Szkoła Podstawowa im. Jana Pawła II,Kleszczewo Kościerskie,53.99576,18.3922832
Szkoła Podstawowa im. Jana Pawła II,Kębłowo,54.5747,17.7737797
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół,Skorzewo,54.16852,17.9703901
Szkoła Podstawowa im. Jana Pawła II,Łebno,54.46082,18.1429471
Szkoła Podstawowa nr 6 im. Jana Pawła II,Reda,54.59624,18.3441474
Zespół Szkół Publicznych im. Jana Pawła II,Starogard Gdański,53.98298,18.4910532
Zespół Placówek Specjalnych w Tczewie im. Jana Pawła II,Tczew,54.08882,18.7830348
Szkoła Podstawowa nr 3 im. Jana Pawła II,Miastko,54.00552,16.968717
Technikum były Zespół Szkół nr 1 im. Jana Pawła II,Władysławowo,54.79468,18.3991681
Zespół Szkół nr 1 im. Jana Pawła II,Pelplin,53.93,18.6987607
Publiczna Szkoła Podstawowa im. Jana Pawła II,Piece,53.88534,18.2179542
Publiczna Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół,Bobowo,53.88122,18.5518549
Zespół Publicznego Gimnazjum i Szkoły Podstawowej im. Jana Pawła II,Przyjaźń,54.30736,18.3881872
Szkoła Podstawowa im. Jana Pawła II,Leźno,54.34662,18.4326046
Szkoła Podstawowa nr 8 im. Jana Pawła II,Chojnice,53.69976,17.5686867
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Jastarnia,54.70046,18.6743587
Zespół Szkół im. Jana Pawła II,Łebień,54.6443,17.7173936
Katolickie Szkoły Niepubliczne im. Jana Pawła II,Pruszcz Gdański,54.26266,18.6337468
Gimnazjum im. Papieża Jana Pawła II - zlikwidowane w 2019 r.,Sadlinki,53.66108,18.8738451
Gimnazjum im. Papieża Jana Pawła II ZLIKWIDOWANE reforma 2019,Łeba,54.766,17.585129
Szkoła Podstawowa im. św. Jana Pawła II,Nożyno,54.31506,17.4933019
Szkoła Podstawowa nr 1 im. Jana Pawła II,Skarszewy,54.07044,18.4400705
Gimnazjum Publiczne im. Jana Pawła II - zlikwidowane 2017,Somonino,54.27248,18.2041845
Zespół Kształcenia i Wychowania im. Jana Pawła II,Stara Kiszewa,53.98808,18.17313
Samorządowe Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Bolszewo,54.61608,18.1624687
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Dzierzgoń,53.9151,19.344397
Zespół Szkół Ponadgimnazjalnych im. Jana Pawła II,Czarne,53.6805081,16.9494369
Przedszkole nr 73 im. Jana Pawła II,Gdańsk,54.35354,18.6026343
Szkoła Podstawowa im. Jana Pawła II w Zespole Kształcenia i Wychowania,Gołubie,54.21354,18.0335738
Gimnazjum im. Karola Wojtyły - zlikwidowane 2019,Kępice,54.24274,16.887377
Zespół Szkół Ogólnokształcących nr 2 im. Karola Wojtyły,Lębork,54.54122,17.7540547
"Collegium Marianum, Liceum Katolickie im. Jana Pawła II",Pelplin,53.92702,18.6935027
Szkoła Podstawowa nr 7,Rumia,54.5604,18.3764219
Zespół Szkół im. Karola Wojtyły,Rotmanka,54.26936,18.60888
Publiczna Szkoła Podstawowa im. Jana Pawła II w Bączku (filia SP w Skarszewach),Bączek,54.02978,18.4637462
Gimnazjum im. Jana Pawła II - zlikwidowane 2019,Krokowa,54.78156,18.1596799
Katolickie Liceum Ogólnokształcące im. Jana Pawła II,Kartuzy,54.33362,18.2030806
Szkoła Podstawowa Nr 1 im. Jana Pawła II w Sztumie,Sztum,53.9293,19.0285363
Gimnazjum nr 21 im. Dziedzictwa Pontyfikatu Jana Pawła II w Zespole Kształcenia Podstawowego i Gimnazjalnego nr 33 - zlikwidowane 2019,Gdańsk,54.40676,18.601298
Szkoła Podstawowa im. Jana Pawła II,Mściszewice,54.26004,17.8511108
Szkoła Podstawowa im. św. Jana Pawła II w Nożynie,Nożyno,54.31506,17.4933019
Szkoła Podstawowa im. Jana Pawła II w Czeczewie,Czeczewo,54.41366,18.3145745
Szkoła Podstawowa nr 74 im. Ks. Karola Kard. Wojtyły Pierwszego Papieża Polaka - zlikwidowana 2005,Gdańsk Oliwa,54.41317066079268,18.58093772882385
Społeczne Szkoły w Niepoględziu im. Jana Pawła II,Niepoględzie,54.29550947466671,17.37647871906005
Szkoła Podstawowa im. Jana Pawła II w Gowidlinie,Gowidlino,54.32371620804507,17.798802969714536
Szkoła Podstawowa im. Jana Pawła II,Borkowo,54.332742937053816,18.33228245598233
Szkoła Podstawowa im. Papieża Jana Pawła II,Czarne Dolne,53.6162687,19.0685742
Szkoła Podstawowa im. Jana Pawła II,Prokowo,54.35678672036005,18.16923532349624
