name;location;longitude;latitude
Niepubliczna Szkoła Podstawowa Mistrzostwa Sportowego im. Jana Pawła II w Koszarawie;Koszarawa;49.64336;19.4005797
Szkoła Podstawowa nr 27 im. Jana Pawła II;Ruda Śląska;50.2394;18.8306768
Zespół Szkolno-Przedszkolny w Borownie;Borowno;50.92846;19.2739798
Szkoła Podstawowa im. Jana Pawła II;Cisiec;49.58134;19.1024686
Szkoła Podstawowa nr 2 im. Kardynała Karola Wojtyły w Czańcu;Czaniec;49.84718;19.2652067
Szkoła Podstawowa nr 2 im. Jana Pawła II - zlikwidowane;Goczałkowice Zdrój;49.93772;18.9817077
Zespół Szkół Specjalnych nr 9 im. Jana Pawła II;Katowice;50.26508;19.0391396
Szkoła Podstawowa nr 6 im. Jana Pawła II;Łaziska Górne;50.13624;18.8709691
Szkoła Podstawowa nr 17 im. Jana Pawła II w Zespole Szkolno-Przedszkolnym nr 4;Mysłowice;50.1802546;19.1441593
Szkoła Podstawowa im. Jana Pawła II;Porąbka;49.80096;19.2221255
Szkoła Podstawowa nr 3 im. Jana Pawła II w Pszczynie;Pszczyna;49.98866;18.9245373
Publiczne Gimnazjum nr 3 im. Jana Pawła II w Zespole Szkół - zlikwidowane;Pszczyna;49.98866;18.9245373
Szkoła Podstawowa nr 6 im. Jana Pawła II;Racibórz;50.05728;18.195179
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Świerklaniec;50.44084;18.9345305
Gimnazjum nr 3 im. Jana Pawła II - zlikwidowane 2019;Tychy;50.11316;18.9636677
Szkoła Podstawowa nr 3 im. Jana Pawła II;Wodzisław Śląski;50.0044593;18.4676698
Przedszkole nr 17 im. św. Jana Pawła II w Zespole Szkolno-Przedszkolnym nr 11;Żory;50.03114;18.6270072
Szkoła Podstawowa im. Jana Pawła II;Zendek;50.49628;19.0885536
Szkoła Podstawowa nr 37 im. Jana Pawła II;Częstochowa;50.81922;19.0504981
Szkoła Podstawowa nr 3 im. Jana Pawła II;Skoczów;49.8003;18.7978212
