name;location;longitude;latitude
Szkoła Podstawowa nr 2 im. Jana Pawła II;Działdowo;53.23052;20.1683421
III Liceum Ogólnokształcące im. Jana Pawła II;Elbląg;54.16284;19.4256498
Szkoła Podstawowa nr 9 im. Jana Pawła II;Ełk;53.83782;22.3602518
Gminny Zespół Szkół im. Papieża Jana Pawła II;Pisz;53.62324;21.8303217
Zespół Szkól nr 2 im. Jana Pawła II;Narzym;53.18514;20.259501
Zespół Szkół im. Jana Pawła II;Miłakowo;54.01238;20.0777642
Gminne Gimnazjum w Budrach z siedzibą w Więckach im. Papieża Jana Pawła II - zlikwidowane 2019;Więcki;54.26008;21.8366836
Szkoła Podstawowa im. Jana Pawła II;Łąkorz;53.44382;19.3555522
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Pieniężno;54.22948;20.1260453
TPD Zarząd Oddziału Miejskiego Warsztat Terapii Zajęciowej im. Jana Pawła II;Nowe Miasto Lubawskie;53.43382;19.5907119
Szkoła Podstawowa nr 3 im. Jana Pawła II;Olecko;54.034;22.4984426
Gimnazjum Publiczne im. Jana Pawła II - zlikwidowane 2019;Dobre Miasto;53.98666;20.4130303
Szkoła Podstawowa nr 1 im. Jana Pawła II;Giżycko;54.04058;21.768329
Niepubliczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Hartowiec;53.39782;19.8404838
Szkoła Podstawowa im. Jana Pawła II;Prostki;53.69302839580313;22.437504542191885
Szkoła Podstawowa nr 1 im. Jana Pawła II;Nowe Miasto Lubawskie;53.42046;19.593646
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Wieliczki;53.9842;22.561975
Szkoła Podstawowa im. Jana Pawła II;Rożental;53.56396;19.7745694
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2017;Biała Piska;53.6097;22.051886
Gimnazjum nr 1 im. Jana Pawła II - zlikwidowane 2109;Górowo Iławeckie;54.28654;20.4916396
Gimnazjum nr 2 im. Jana Pawła II - zlikwidowane 2019 r;Kętrzyn;54.08104;21.3705473
Szkoła Podstawowa im. Jana Pawła II;Janowiec Kościelny;53.29048;20.5228393
Zespół Szkół im. Jana Pawła II;Jamielnik;53.52868;19.5037362
Szkoła Podstawowa nr 4 im Jana Pawła II;Lidzbark Warmiński;54.1364;20.5878532
Szkoła Podstawowa nr 3 im. Jana Pawła II;Ostróda;53.68998;19.9714122
Zespół Szkół Katolickich, Publiczne Katolickie Gimnazjum i Liceum Ogólnokształcące im. Jana Pawła II;Malbork;54.03234;19.0365251
Szkoła Podstawowa im. Jana Pawła II;Gronowo Elbląskie;54.0865;19.3058186
Specjalny Ośrodek Szkolno-Wychowawczy im. Jana Pawła II - zlikwidowany 2013;Reszel;54.05158;21.1425048
Szkoła Podstawowa im. Jana Pawła II;Biesal;53.7219;20.1881833
Szkoła Podstawowa im. Jana Pawła II;Bażyny;54.1282;20.0492662
Gimnazjum Publiczne im. Jana Pawła II - zlikwidowane 2019;Bisztynek;54.08748;20.9078099
Szkoła Podstawowa nr 6 im. Jana Pawła II;Braniewo;54.38460595231704;19.832092810747426
Liceum Ogólnokształcące im. Jana Pawła II w Zespole Szkół;Gołdap;54.306886839851146;22.309874372042604
Publiczna Szkoła Podstawowa im. Karola Wojtyły;Kraszewo;54.08433137225572;20.540518355784595
Szkoła Podstawowa im. Jana Pawła II;Milejewo;54.2201;19.5463816
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Młynary;54.1857;19.7199554
Szkoła Podstawowa im. Karola Wojtyły;Piecki;53.75306446584596;21.340671472644814
Szkoła Podstawowa im. Jana Pawła II w Sątocznie;Sątoczno;54.23247245893667;21.09564121323037
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół Samorządowych;Straduny;53.89384;22.3418631
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Tolkmicko;54.32172;19.5302298
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Świątki;53.92764;20.2456732
Szkoła Podstawowa im. Jana Pawła II;Kowale Oleckie;54.17026;22.4146915
Szkoła Podstawowa nr 1 w Morągu im. Jana Pawła II;Morąg;53.9125;19.9307712
Szkoła Podstawowa im. Jana Pawła II;Napiwoda;53.40778;20.4817626
Szkoła Podstawowa im. Jana Pawła II;Sokolica;54.21002;20.9782852
Zespół Placówek Oświatowych w Miłkach;Miłki;53.94104;21.8811011
Samorządowa Szkoła Podstawowa im. Jana Pawła II;Wikielec;53.58392;19.5101563
Gimnazjum im. Św. Jana Pawła II SPSK - zlikwidowane 2019;Olsztynek;53.58152;20.2864013
Specjalny Ośrodek Szkolno-Wychowawczy im. Świętego Jana Pawła II;Kętrzyn;54.0755;21.3575329
Szkoła Podstawowa im. Świętego Jana Pawła II w Lechowie;Lechowo;54.2026243;20.2741422
Szkoła Podstawowa im. Jana Pawła II w Mołtajnach;Mołtajny;54.29442;21.3560223
Szkoła Podstawowa im. Jana Pawła II;Łęgajny;53.8204;20.6311958
Szkoła Podstawowa im. Jana Pawła II w Rozogach;Rozogi;53.48108;21.362239
Szkoła Podstawowa im. Jana Pawła II w Waplewie;Waplewo;53.49856;20.3226267
Przedszkole Miejskie nr 10 im. Jana Pawła II w Olsztynie;Olsztyn;53.7858;20.4851614
II Liceum Ogólnokształcące im. Jana Pawła II;Działdowo;53.23052;20.1683421
