name;location;longitude;latitude
Szkoła Podstawowa im. Jana Pawła II;Stare Oborzyska;52.10954;16.6912314
Szkoła Podstawowa im. Ojca Świętego Jana Pawła II;Gizałki;52.04168;17.7704389
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Kamieniec;52.1648661;16.4556352
Szkoła Podstawowa nr 5;Luboń;52.34322;16.8621326
Szkoła Podstawowa  im. Jana Pawła II w Zespole Szkolno-Przedszkolnym;Młodojewo;52.31736;17.9354139
Katolickie Liceum im. Jana Pawła II;Poznań;52.35372;16.9218303
Szkoła Podstawowa im. Papieża Jana Pawła II;Wysokie;52.2387744;18.4725237
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół;Benice;51.74966;17.3848583
Szkoła Podstawowa im. Jana Pawła II w Ociążu;Ociąż;51.70636871362799;17.923717098657786
Katolicka Szkoła Podstawowa im. Jana Pawła II;Poznań;52.35372;16.9218303
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Kotlin;51.91818;17.6453787
Katolicka Szkoła Podstawowa im. Jana Pawła II - zlikwidowane 2019;Poznań;52.41302;16.9003624
Gimnazjum z Oddziałami Integracyjnymi im. Jana Pawła II - zlikwidowane;Odolanów;51.5774;17.6641159
Publiczne Gimnazjum im. Papieża Jana Pawła II - zlikwidowane 2019;Ostrów Wielkopolski;51.64464;17.8309501
Szkoła Podstawowa nr 9 im. Jana Pawła II;Ostrów Wielkopolski;51.63862;17.8280741
Salezjańska Szkoła Podstawowa im. Jana Pawła II;Piła;53.15222;16.7671391
Szkoła  Podstawowa im. Jana Pawła II;Kaczki Średnie;51.96986;18.5544984
Zespół Szkół im. Jana Pawła II;Laski;51.19244;18.0192812
Szkoła Podstawowa im. Jana Pawła II;Kazimierz Biskupi;52.30722;18.1636888
Szkoła Podstawowa im. Jana Pawła II;Siemowo;51.9014;16.8943781
Zespół Szkół im. Jana Pawła II;Zasutowo;52.34668;17.4746518
Szkoła Podstawowa im. Jana Pawła II;Dąbie;52.089;18.8198121
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Łubianka;52.1590501;18.8474417
Szkoła Podstawowa im. Jana Pawła II;Popowo Kościelne;52.7102883;17.2611709
Gimnazjum im Jana Pawła II - zlikwidowane 2019;Rychwał;52.07402;18.1653446
Szkoła Podstawowa im. Jana Pawła II;Tarnowo Podgórne;52.46484;16.6631401
Gimnazjum nr 7 z Oddziałami Integracyjnymi im. Jana Pawła II - zlikwidowane 2017;Leszno;51.8326564;16.6020618
Szkoła Podstawowa nr 2 im. Jana Pawła II;Suchy Las;52.4725;16.87169
Szkoła Podstawowa im. Jana Pawła II;Chełmce;51.70086001047671;18.168240440258582
Gimnazjum nr 3 im. Papieża Jana Pawła II - zlikwidowane 2019;Koło;52.18778;18.6271815
Zespół Szkół Ponadgimnazjalnych nr 3 im. Jana Pawła II;Krotoszyn;51.68858;17.4297405
Szkoła Podstawowa im. Jana Pawła II;Mikorzyn;51.3646097;18.0264351
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Stare Oborzyska;52.10954;16.6912314
Gimnazjum im. Papieża Jana Pawła II - zlikwidowane 2019;Krzymów;52.19584;18.4400414
Zespół Szkół Specjalnych im. Jana Pawła II;Rawicz;51.61438;16.8421752
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Łobżenica;53.25966;17.2528841
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Ryczywół;52.8155838;16.8219885
Gimnazjum im. Jana Pawła II - zlikwidowane 2017;Osiek;53.1172948;17.2925418
Zespół Szkół im. Jana Pawła II w Chociczy;Chocicza;52.0704;17.3660629
Publiczne Gimnazjum im. Jana Pawła II w Zespole Szkół - zlikwidowane 2019;Tarnówka;53.34038;16.8524008
Szkoła Podstawowa im. Jana Pawła II;Lipiny;52.9713568;17.1919877
Zespół Szkół im. Jana Pawła II;Orzechów;52.12512;17.479997
Szkoła Podstawowa im. Jana Pawła II;Dominowo;52.29208;17.357958
Niepubliczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Jastrowie;53.41802;16.8091163
Zespół Szkół Ekonomicznych im. Jana Pawła II;Złotów;53.3611456210714;17.038835822103522
Zespół Szkolno - Przedszkolny Szkoła Podstawowa im. Jana Pawła II;Pyzdry;52.16724;17.6906676
Zespół Szkoły Podstawowej i Gimnazjum im. Jana Pawła II;Dąbrowa;52.11234;17.1152162
Zespół Szkół im. Jana Pawła II;Jutrosin;51.65064;17.1693363
Zespół Szkół im. Jana Pawła II;Ptaszkowo;52.22408;16.4404428
Szkoła Podstawowa im. Jana Pawła II;Boguszyce;52.4442888;18.5237311
Zespół Szkół Technicznych nr 2 im. Papieża Jana Pawła II;Gniezno;52.5347;17.6178102
Zespół Szkolno - Przedszkolny im. Jana Pawła II;Świętno;52.0093;16.0464376
XXXVII Liceum Ogólnokształcące z Oddziałami Terapeutycznymi im. Jana Pawła II;Poznań;52.39044;16.8984451
Szkoła Podstawowa im. Jana Pawła II w Zespole Szkół - zlikwidowana 2019;Lamki;51.66392;17.7295656
Gimnazjum nr 1 im. Jana Pawła II - zlikwidowane 2018;Konin;52.20540481101368;18.25865619578016
Szkoła Podstawowa im. Jana Pawła II;Pępowo;51.75796;17.1137346
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Czerwonak;52.46416;16.9822543
Zespół Szkół Specjalnych nr 102 im. Jana Pawła II;Poznań;52.42642;16.9465228
Samorządowa Szkoła Podstawowa nr 6 im. Jana Pawła II;Września;52.32138;17.5831826
Publiczne Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Mikstat;51.53358;17.9757934
Zespół Szkół im. Jana Pawła II;Łowyń;52.50042;15.9094088
Szkoła Podstawowa im. Jana Pawła II;Trzebień;51.2318368;18.1205786
Gimnazjum im. Jana Pawła II - zlikwidowane 2019;Skulsk;52.47726;18.3316849
Szkoła Podstawowa im. Jana Pawła II;Szczodrzykowo;52.28514;17.1025504
Szkoła Podstawowa nr 2 im. Jana Pawła II;Kalisz;51.77486;18.0811287
Zespół Szkół im. Jana Pawła II;Zimnowoda;51.8767361;17.3044143
Zespół Szkoły i Przedszkola im. Jana Pawła II;Brody;52.43825720299591;16.29460885118632
Szkoła Podstawowa im. Jana Pawła II;Bylice-Kolonia;52.25928;18.7746684
