name,location,longitude,latitude
Pomnik Jana Pawła II,Łódź,51.78758,19.4814
Papież Polak Jan Paweł II,Łódź,51.75658,19.42082
Pamięci Jana Pawła II,Łódź,51.73626,19.44418
Papieża Jana Pawła II,Zgierz,51.86455,19.43175
Pomnik Ojca Świętego Jana Pawła II,Piotrków Trybunalski,51.40867,19.69144
Pomnik Jana Pawła II,Ksawerów,51.68348,19.39567
Obelisk Jana Pawła II,Tomaszów Mazowiecki,51.53778,20.02563
Pomnik Jana Pawła II,Łaznów,51.62761,19.7774
pomnik Jana Pawła II,Kleszczów,51.22348,19.30358
Pomnik Jana Pawła II,Łódź,51.81807,19.48243
Pomnik Jana Pawła II,Radomsko,51.05939,19.45794
Pomnik Jana Pawła II,Woźniaków,52.2257,19.31277
Pomnik Jana Pawła II,Zduńska Wola,51.6008,18.93602
Pomnik Jana Pawła II,Sieradz,51.59678,18.73962
Pomnik Jana Pawła II,Sieradz,51.57743,18.74609
Pomnik Jana Pawła II,Łowicz,52.10756,19.94432
Pamięci Jana Pawła II,Sobota,52.11494,19.68553
Pomnik Jana Pawła II,Wieluń,51.22076,18.56774
Wielun pomnik Papieza Jana Pawla II,Wieluń,51.2225,18.57389
Pomnik Jana Pawła II,Dalachów,51.0763,18.58991
Pomnik Jana Pawła II,Aleksandrów Łódzki,51.81925,19.30382
Pomnik Jana Pawła II,Rąbień,51.78914,19.32047
Pomnik Jana Pawła II,Rawa Mazowiecka,51.76578,20.25297
Papieża Jana Pawła II,Stryków,51.90012,19.60223
Pomnik Jana Pawła II,Górajki,52.06831,18.96265
pomnik Jana Pawła II,Rokiciny,51.66673,19.786
Jan Paweł II,Kalonka,51.8255111,19.5722934
Jan Paweł II,Łódź,51.7878112,19.4138061
Pomnik Papieża Jana Pawła II,Tomaszów Mazowiecki,51.5310473,20.009896
Na pamiątkę wizyty Ojca Świętego Jana Pawła II,Łowicz,52.0986396,19.9245821
Jan Paweł II,Miasto Wieruszów,51.2950364,18.1625589
Jan Paweł II - honorowy obywatel miasta Łodzi,Łódź,51.7555679,19.4343709
Figura Jana Pawła II,Dzietrzniki,51.0944588,18.6282412
Jan Paweł II,Pajęczno,51.1455583,18.9977718
Pomnik Jana Pawła II,Łódź,51.7989591,19.4439343
Jan Paweł II,Bełchatów,51.3659128,19.3699392
Jan Paweł II,Garłów,51.7484998,20.1876904
