name,location,longitude,latitude
Pomnik Papieża Jana Pawła II,Otyń,51.84923,15.712
Pomnik Jana Pawła II,Przyborów,51.79982,15.7686
Pomnik Jana Pawła II,Bytom Odrzański,51.72984,15.82757
Pomnik Jana Pawła II,Szprotawa,51.56509,15.5368
Pomnik Jana Pawła II,Słońsk,52.57025,14.80446
Pomnik Jana Pawła II,Witnica,52.67289,14.90007
Pomnik Jana Pawła II,Krosno Odrzańskie,52.0616,15.07823
Fig. papieża Jana Pawła II,Torzym,52.3144,15.08434
Pomnik Jana Pawła II,Nowa Sól,51.80550849241898,15.716733634471893
Pomnik papieża św. Jana Pawła II,Dzietrzychowice,51.66419498030378,15.355539075851514
Pomnik Jana Pawła II (d. pomnik wojenny Niedoradz),Niedoradz,51.87344072680786,15.669926404953005
Pomnik Jana Pawła II,Żagań,51.6232059378013,15.30024363863774
Pomnik św. Jana Pawła II,Bożnów,51.61188751037221,15.36040484905243
Pomnik Jana Pawła II,Łęknica,51.54430669494107,14.742107391357422
Pomnik Jana Pawła II,Różanki,52.794747584973,15.324999690055849
Pomnik Jana Pawła II,Nowe Miasteczko,51.6904274,15.7332565
Jan Paweł II,Lipiny,51.8586779,15.8148438
Papieski Kamień,Stary Jaromierz,52.0769386,15.8977981
Ks. Papież Benedykt XVI,Świebodzin,52.2372779,15.54554
Ksiądz Papież,Świebodzin,52.2408086,15.5386266
Pamiątka posadzenia dębu w pierwszą rocznicę śmierci Księdza Papieża,Zielona Góra,51.9433677,15.5905877
Jan Paweł II,Iłowa,51.5004864,15.2027583
Dąb Jana Pawła II 18 maja 2006,Jeziory Wysokie,51.7843432,14.7598519
Dąb Jana Pawła II A.D. 2008,Zielona Góra,51.8531143,15.5600652
W 25-lecie pontyfikatu papieża polaka,Krosno Odrzańskie,52.0485576,15.0998666
Dąb Papieski,Cybinka,52.1930914,14.7924086
Dąb Papieski,Klępsk,52.1156384,15.7181713
Wadowicki dąb pamięci księdza papieża Jana Pawła II,Ośno Lubuskie,52.4542256,14.868751
Janowi Pawłowi II w 40-lecie wyboru na Papieża...,Sulęcin,52.4417768,15.1129026
Gdy papieżem był Jan Paweł,Sarbia,52.0410039,14.9919681
Dąb św. Jana Pawła II,Skwierzyna,52.5991191,15.5028581
Ksiądz Papież Jan Paweł II,Gorzów Wielkopolski,52.735014,15.2167513
