name,location,longitude,latitude
Pomnik Jana Pawła II,Gdańsk,54.4008,18.60931
Papież Jan Paweł II,Gdańsk,54.33777,18.51447
Pomnik Jana Pawła II,Gdańsk,54.35439,18.65203
Papieża Jana Pawła II i Prezydenta Ronalda Reagana,Gdańsk,54.41748,18.61102
Pomnik papieża Jana Pawła II i prezydenta Ronalda Reagana,Gdańsk,54.4167,18.60452
Pomnik Jana Pawła II,Gdańsk,54.40018,18.60453
Pomnik Jana Pawła II,Gdynia,54.51822,18.54219
Pomnik Papieża Jana Pawła II,Rumia,54.57815,18.39802
Pomnik Jana Pawła II,Lipsk,54.46558,17.03734
VIII Obelisk Jana Pawła II,Lubuń,54.36041,17.08508
VII Obelisk Jana Pawła II,Leśniczówka Zaścianek,54.35859,17.15567
Pomnik Jana Pawła II,Pszczółki,54.17775,18.68922
Pomnik Jana Pawła II,Tczew,54.09512,18.76346
Pomnik Jana Pawła II,Gościcino,54.59472,18.16101
Pomnik Jana Pawła II,Starogard Gdański,53.96817,18.53106
Pomnik Jana Pawła II,Rozłazino,54.52584,17.91237
Papież Jan Paweł II,Kamienica Królewska,54.39177,17.88718
pomnik Jana Pawła II,Leśniewo,54.69461,18.24426
VII Obelisk Jana Pawła II,Niepoględzie,54.2954,17.37583
Pomnik Jana Pawła II,Żukowo,54.33886,18.35823
Pomnik Jana Pawła II,Brzezie,53.83672,16.92578
Pomnik Jana Pawła II,Stegna,54.32641,19.12585
Pomnik Jana Pawła II,Bytów,54.169795056622775,17.490524260892535
Pomnik Jana Pawła II i prezydenta Ronalda Reagana,Przymorze Wielkie,54.41676060102457,18.604568839073185
Jan Paweł II,Hel,54.6073984,18.8052944
Obelisk JPII,Sulęczyno,54.23039,17.7766699
Święty Jan Paweł II,Gdańsk,54.4016683,18.6717027
Pomnik Jana Pawła II,Kościerzyna,54.1207295,17.9773089
Obelisk Jana Pawła II,Przechlewko,53.8783065,17.2053686
Pomnik Jana Pawła II,Lębork,54.5328423,17.757728
św. Jan Paweł II,Władysławowo,54.7949079,18.3995336
Kamień papieski,Gałąźnia Mała,54.2880915,17.3030974
Pamiątka pobytu Jana Pawła II,Czarna Woda,53.8345961,18.1018856
Pomnik Jana Pawła II,Wejherowo,54.6012487,18.2382442
Tablica na pamiątkę wizyty Jana Pawła II w Gdyni w 1987 r.,Gdynia,54.5711963,18.5360121
Jan Paweł II,Kostkowo,54.6675892,18.0347403
Jan Paweł II,Władysławowo,54.7971005,18.3962802
Kamień papieski,Żukówko,54.2500175,17.5801573
