name,location,longitude,latitude
Pomnik Jana Pawła II,Police,53.54379,14.55587
Pomnik Papieża Jana Pawła II,Szczecin,53.43942,14.54109
Pomnik Papieża Jana Pawła II Iluminacja Szczecin SZN,Szczecin,53.43948,14.54101
Szczecin pomnik Jana Pawla II,Szczecin,53.43958,14.54097
Pomnik papieża Jana Pawła II w Szczecinie,Szczecin,53.43958,14.54096
Pomnik Papieża Jana Pawła II Police ZPL,Police,53.54373,14.55551
Pomnik Jana Pawła II,Koszalin,54.18975,16.18078
Pomnik Jana Pawła II,Stargard,53.3388,15.03806
Pomnik Jana Pawła II,Goleniów,53.55845,14.8297
Pomnik Papieża Jana Pawła II,Moczyły,53.32411,14.46444
pomnik Jan Paweł II,Czarnogłowy,53.76854,14.90385
Pomnik Jana Pawła II,Gryfice,53.91363,15.19836
Pomnik Jana Pawła II,Choszczno,53.16866,15.41979
Pomnik Jana Pawła II,Czaplinek,53.56279,16.22723
Pomnik Jana Pawła II,Pyrzyce,53.14111,14.90069
Kamień papieski,Nowe Warpno,53.72579416173403,14.278948903083803
Popiersie Jana Pawła II,Sianów,54.2263206,16.2904209
Pomnik Papieża Jana Pawła II,Szczecin,53.3668987,14.651057
Jana Pawła II,Świdwin,53.7759548,15.7741116
Jan Paweł II,Pełczyce,53.0401528,15.3025481
Kamień pamiątkowy papieża JPII,Barnimie,53.1762622,15.7998357
Kamień papieski,Drawsko Pomorskie,53.5323724,15.821656
Platan Papieski,Miasto Ińsko,53.4382144,15.5538065
Szlak kajakowy im. Kardynała Karola Wojtyły,Karlino,54.0404687,15.8833673
Dąb dla Jana Pawła II,Pustkowo,54.0708476,14.9717305
