name,location,longitude,latitude
ul. Aleja Jana Pawła II,Bełchatów,51.3475797,19.3533184
Skwer im. Jana Pawła II,Bełchatów,51.46812845,19.2246606551199
rondo im. Jana Pawła II,Łuszczanowice,51.2023035,19.3052987
Plac Jana Pawła II,Rusiec,51.3256,18.9903937
ul. Jana Pawła II,Zelów,51.46786,19.2243624
ul. Papieża Jana Pawła II,Kutno,52.2300935,19.3644023915822
pl. Jana Pawła II,Żychlin,52.245164,19.6265344712266
ul. Jana Pawła II,Łask,51.58782,19.135818
ul. Aleje Jana Pawła II,Łęczyca,52.058917725,19.19840745625
ul. Jana Pawła II,Piątek,52.06781975,19.4812881
ul. Jana Pawła II,Świnice Warckie,52.0389372,18.917862
ul. Jana Pawła II,Łowicz,52.09378,19.9262394
Rondo Jana Pawła II,Koluszki,51.7383956,19.8202613
pl. Jana Pawła II,Kalonka,51.82564,19.5732529
ul. Jana Pawła II,Starowa Góra,51.6885,19.4900246
Aleja Jana Pawła II,Tuszyn,51.61072,19.5288064
os. Jana Pawła II,Opoczno,51.38392,20.2645848
ul. Jana Pawła II,Opoczno,51.3827,20.2823634
ul. Jana Pawła II,Sławno,51.39166,20.1400765
ul. Jana Pawła II,Skórkowice,51.2285,20.0434562
ul. Jana Pawła II,Konstantynów Łódzki,51.74914,19.3177
ul. Jana Pawła II,Pabianice,51.65586,19.3364663
ul. Jana Pawła II,Ksawerów,51.68348,19.3991853
pl. Jana Pawła II,Lutomiersk,51.75524,19.2118709
Plac imienia Jana Pawła II,Działoszyn,51.11576,18.8750652
ul. Jana Pawła II,Pajęczno,51.15378,18.9908294
ul. św. Jana Pawła II,Jarosty,51.45786,19.6893367
ul. Jana Pawła II,Gomulin-Kolonia,51.42054,19.5745892
ul. Jana Pawła II,Swolszewice Duże,51.46369025,19.9405888
ul. Jana Pawła II,Uniejów,51.98152,18.7919531
ul. Aleje Jana Pawła II,Radomsko,51.068967175,19.441169428758
rondo Jana Pawła II,Rawa Mazowiecka,51.7518598,20.2408691
ul. Jana Pawła II,Biała Rawska,51.80606,20.4564891
ul. Jana Pawła II,Sieradz,51.5845936,18.71872175
skwer Jana Pawła II,Burzenin,51.46252,18.8318969
ul. Jana Pawła II,Tomaszów Mazowiecki,51.51372,20.0004331
ul. Jana Pawła II,Ujazd,51.608878325,19.9318517414617
ul. Jana Pawła II,Wieruszów,51.29582,18.1515749
Plac św. Jana Pawła II,Zduńska Wola,51.6007665,18.9361665
ul. Jana Pawła II,Głowno,51.95048,19.7379083
Plac św. Jana Pawła II,Ozorków,51.96418,19.2921941
Plac Jana Pawła II,Zgierz,51.8560838,19.4035808420943
ul. Jana Pawła II,Stryków,51.8993,19.6031163
pl. Jana Pawła II,Brzeziny,51.800746,19.7513784
plac Świętego Jana Pawła II,Jeżów,51.8136881,19.9707985
ul. Jana Pawła II,Rogów,51.8174946166667,19.8806858606451
al. Jana Pawła II,Łódź-Górna,51.746691,19.4399368
al. Jana Pawła II,Łódź-Polesie,51.7496561,19.4370219
pl. Jana Pawła II,Łódź-Śródmieście,51.74876,19.4584763
Park Śródmiejski św. Jana Pawła II,Piotrków Trybunalski,51.40802,19.6913121
pl. Jana Pawła II,Skierniewice,51.9488798,20.1447335404456
