name;location;longitude;latitude
ul. Jana Pawła II;Brzesko;49.97822;20.6076653
Skwer Jana Pawła II;Jadowniki;49.980679175;20.608835102207
Plac Jana Pawła II;Grojec;50.0857;19.5673267
ul. Jana Pawła II;Kwaczała;50.06896;19.498972
ul. Karola Wojtyły;Mirów;50.03502835;19.5626496442143
al. Jana Pawła II;Regulice;50.090064225;19.5329606332205
ul. Jana Pawła II;Jankowice;50.04505;19.43994
ul. ks. Karola Wojtyły;Mętków;50.0484096;19.3839064
ul. Świętego Jana Pawła II;Płaza;50.099277325;19.4692298730333
ul. Aleja Jana Pawła II;Libiąż;50.1038978;19.3215956
ul. Jana Pawła II;Trzebinia;50.1956208;19.4319033251018
ul. Jana Pawła II;Psary;50.1744819;19.530356275
ul. Jana Pawła II;Biecz;49.7378712;21.2587267
Rondo im. Św. Jana Pawła II;Moszczenica;49.70406;21.1178414
ul. Św. Jana Pawła II;Staszkówka;49.757701;21.0146835990177
ul. Św. Jana Pawła II;Dąbrowa Szlachecka;50.0129074;19.7257361
ul. Św. Jana Pawła II;Rusocice;49.9963;19.605876
ul. Św. Jana Pawła II;Zagacie;50.01454;19.7194325
ul. Jana Pawła II;Iwanowice Włościańskie;50.226102925;19.9784037557535
ul. Karola Wojtyły;Żerkowice;50.1913257;19.9528093
ul. św. Jana Pawła II;Jerzmanowice;50.20681855;19.75300253611
Rondo im. Świętego Jana Pawła II;Krzeszowice;50.1351701;19.6319746
ul. Jana Pawła II;Wola Filipowska;50.13262;19.5838561
ul. Jana Pawła II;Michałowice;50.15801735;19.9634235691045
ul. Jana Pawła II;Libertów;49.9724944;19.8924081
ul. Jana Pawła II;Skawina;49.96842185;19.8309676631488
ul. Jana Pawła II;Radziszów;49.938125725;19.8102983848297
ul. św. Jana Pawła II;Wola Radziszowska;49.9096608;19.7916708
ul. św. Jana Pawła II;Słomniki;50.24510005;20.0850509664439
Plac ks. Kardynała Wojtyły;Bębło;50.186577775;19.7933329461128
ul. Jana Pawła II;Bolechowice;50.14854;19.7910698
park im. Św. Jana Pawła II;Bolechowice;50.0207349;20.1580819
ul. Jana Pawła II;Kobylany;50.1452682;19.7634737833441
ul. św. Jana Pawła II;Nielepice;50.107465675;19.7043372070359
ul. Jana Pawła II;Zelków;50.160149625;19.7997878851438
ul. Karola Wojtyły;Batowice;50.11142;20.0158587
ul. Karola Wojtyły;Dziekanowice;50.10792;20.0053135
ul. Jana Pawła II;Limanowa;49.707972025;20.42103334673
ul. Jana Pawła II;Mszana Dolna;49.6767426;20.08253075
ul. Jana Pawła II;Łyczanka;49.90706;19.98585
ul. Jana Pawła II;Siepraw;49.9072666;19.9739328
ul. Obwodnica św. Jana Pawła II;Muszyna;49.3574941;20.8958802
ul. św. Jana Pawła II;Żeleźnikowa Wielka;49.55358;20.6973426
ul. Jana Pawła II;Stary Sącz;49.5661;20.6475509
rondo im. Jana Pawła II;Stary Sącz;49.5676591;20.6508271389993
ul. Jana Pawła II;Nowy Targ;49.47351545;20.05516535
rondo Jana Pawła II;Nowy Targ;49.4767164;20.0506664
ul. Jana Pawła II;Szlachtowa;49.41437895;20.5272202
ul. Ojca Świętego Jana Pawła II;Czarny Dunajec;49.4477682;19.8639222
Rondo im. Ojca Świętego Jana Pawła II;Ratułów;49.3920249;19.8785593
Rondo im. Ojca Świętego Jana Pawła II;Ciche;49.3919289;19.8782671
ul. Jana Pawła II;Czorsztyn;49.436220075;20.3293108752704
ul. Jana Pawła II;Maniowy;49.4589329;20.2687927368465
ul. Jana Pawła II;Jabłonka;49.484549225;19.7029948670524
ul. Jana Pawła II;Grywałd;49.44625325;20.3892927
ul. Karola Wojtyły - Papieża;Krościenko nad Dunajcem;49.4467009;20.4323905
ul. Jana Pawła II;Frydman;49.4472305;20.2272177570888
ul. Jana Pawła II;Kacwin;49.371773125;20.2958444004661
ul. Jana Pawła II;Łapsze Niżne;49.3974131;20.2416977
ul. Jana Pawła II;Dębno;49.4693127;20.2066116
ul. Jana Pawła II;Ludźmierz;49.4619646;19.9814382
ul. Jana Pawła II;Ostrowsko;49.4710403;20.0989797
ul. ks. kardynała Karola Wojtyły;Szlembark;49.47603555;20.2127177
ul. Jana Pawła II;Waksmund;49.478071;20.075516
ul. Jana Pawła II;Rabka-Zdrój;49.6118195;19.9607062766026
ul. Jana Pawła II;Bór;49.435488175;20.0597218337064
ul. Jana Pawła II;Maruszyna;49.420269875;19.9784196030053
ul. Kardynała Karola Wojtyły;Zaskale;49.4398408;20.0103081
ul. Jana Pawła II;Olkusz;50.266877375;19.5684826367667
ul. Jana Pawła II;Zarzecze;50.371246;19.696563
ul. Jana Pawła II;Oświęcim;50.04046;19.207281
ul. Jana Pawła II;Jawiszowice;49.9450678;19.1405112022546
al. Jana Pawła II;Kęty;49.89122;19.2245076
ul. Jana Pawła II;Nowa Wieś;49.904217425;19.2151175552717
ul. Jana Pawła II;Zator;49.9925473;19.4344974669385
ul. Karola Wojtyły;Grodzisko;49.959665425;19.4619510162829
Plac Jana Pawła II;Koszyce;50.16724;20.5748969
ul. Jana Pawła II;Jordanów;49.6404807;19.8252143
ul. Jana Pawła II;Gromnik;49.84108985;20.9487886600122
ul. Jana Pawła II;Zbylitowska Góra;49.988102075;20.8990901368718
ul. Jana Pawła II;Tuchów;49.8946267;21.0565254
Plac św. Jana Pawła II;Żabno;50.1336;20.8859352
ul. Jana Pawła II;Odporyszów;50.1483441;20.9223876
ul. Jana Pawła II;Zakopane;49.297791975;19.9502588980379
Rondo Świętego Jana Pawła II;Zakopane;49.7040596;21.1176502
ul. Jana Pawła II;Biały Dunajec;49.37924845;20.01103775
ul. Jana Pawła II;Groń;49.3997083;20.0620652
Plac Świętego Jana Pawła II;Łączany;49.98590015;19.5778425768498
Plac św. Jana Pawła II;Marcyporęba;49.9422066;19.6170722931482
al. Jana Pawła II;Kalwaria Zebrzydowska;49.86890015;19.6826902777663
ul. Kardynała Karola Wojtyły;Lanckorona;49.84452775;19.710655
ul. Jana Pawła II;Ryczów;49.9745202;19.5414074
ul. Jana Pawła II;Spytkowice;49.9940372;19.4889796717343
ul. Jana Pawła II;Radocza;49.92521015;19.47588505
ul. Jana Pawła II;Witanowice;49.91876965;19.52959355
Plac Jana Pawła II;Wadowice;49.883751475;19.4926521603865
ul. Św. Jana Pawła II;Frydrychowice;49.916423975;19.4096534070274
ul. św. Jana Pawła II;Nidek;49.9032374;19.31288905
Rondo Księdza Karola Wojtyły;Gdów;49.9115642;20.2117824
Aleja Jana Pawła II;Wieliczka;49.9833942;20.0580902
ul. Trakt Ojca św. Jana Pawła II;Brzegi;50.0339122;20.088044
Aleja Jana Pawła II;Kraków-Nowa Huta;50.07267562697469;20.025553149785214
Aleja Jana Pawła II;Kraków-Śródmieście;50.0725618;19.9854482
ul. Jana Pawła II;Nowy Sącz;49.5979713;20.7005163
Rondo Świętego Jana Pawła II;Nowy Sącz;49.6403221;20.6936848
al. Jana Pawła II;Tarnów;50.03218;21.0125061
Plac Świętego Jana Pawła II;Tarnów;50.0254054;21.0193272
