name;location;longitude;latitude
Plac Jana Pawła II;Ciechanów;52.8824474;20.619082
ul. Jana Pawła II;Garwolin;51.3598331;21.6218218
ul. Jana Pawła II;Górzno;51.845814425;21.7143156876472
ul. Jana Pawła II;Parysów;51.97355575;21.6781109708089
ul. Jana Pawła II;Sobolew;51.7385009;21.6620804524481
ul. Jana Pawła II;Wilga;51.851732625;21.373463225
ul. Jana Pawła II;Gostynin;52.431304975;19.4629782002483
ul. Jana Pawła II;Szczawin Kościelny;52.3690552;19.61190105
ul. Jana Pawła II;Podkowa Leśna;52.1174185;20.72657225
ul. Jana Pawła II;Grójec;51.8622667;20.8730287
rondo Jana Pawła II;Nowe Miasto nad Pilicą;51.6238933;20.5725994
Rondo Jana Pawła II;Warka;51.7868833;21.183101
Skwer św. Jana Pawła II;Garbatka-Letnisko;51.49138;21.6263035
ul. Jana Pawła II;Kozienice;51.5871631;21.5277253
ul. Jana Pawła I;Legionowo;52.4156646;20.9441799
Rondo im. Jana Pawła II;Nieporęt;52.3430201;21.2345809
Rondo Świętego Jana Pawła II;Łosice;52.2129835;22.7105474
ul. Jana Pawła II;Mińsk Mazowiecki;52.182179675;21.5539571
ul. Jana Pawła II;Halinów;52.2272068;21.3544849645966
ul. św. Jana Pawła II;Kałuszyn;52.21324;21.8169296
Skwer im. Jana Pawła II;Siennica;52.09072;21.6212779
rondo Jana Pawła II;Sulejówek;52.2427834;21.2903885
Rondo Jana Pawła II;Mława;53.1223;20.3639939
Aleja Jana Pawła II;Nowy Dwór Mazowiecki;52.4495754;20.7044643
rondo św. Jana Pawła II;Nowy Dwór Mazowiecki;52.43252;20.6967256
al. Jana Pawła II;Dylewo;53.1874951;21.4527733
ul. Karola Wojtyły;Kadzidło;53.23490475;21.4560372
pl. Jana Pawła II;Dąbrówka;53.2104;21.6523904
ul. Jana Pawła II;Łyse;53.36277665;21.5678978
ul. św. Jana Pawła II;Antonie;53.1077199;21.5266224
ul. Karola Wojtyły;Olszewo-Borki;53.06471465;21.5157731
ul. Jana Pawła II;Rzekuń;53.04872;21.6398989
ul. Aleja Świętego Jana Pawła II;Ostrów Mazowiecka;52.7959656;21.8877008
ul. Aleja Papieża Jana Pawła II;Boguty-Pianki;52.71672;22.410334
ul. Jana Pawła II;Brok;52.700611475;21.8562796
ul. Jana Pawła II;Małkinia Górna;52.695610175;22.0679687
ul. Jana Pawła II;Szulborze Wielkie;52.76206;22.2218285
Skwer im. św. Jana Pawła II;Józefów;52.13644;21.2347386
ul. Jana Pawła II;Otwock;52.1185346;21.2547382
ul. Aleja Jana Pawła II;Karczew;52.07638;21.232095
ul. Jana Pawła II;Kołbiel;52.06736745;21.4863322926786
ul. Jana Pawła II;Zakręt;52.21642;21.282061
Rondo Jana Pawła II;Konstancin-Jeziorna;52.0900447;21.1220291
ul. Jana Pawła II;Piaseczno;52.0753517;21.0267012
ul. św. Jana Pawła II;Bodzanów;52.5007542;20.0365464859491
ul. Jana Pawła II;Bądkowo Kościelne;52.6723479;19.5049927
ul. Jana Pawła II;Brudzeń Duży;52.67054;19.5051306
Rondo Świętego Jana Pawła II;Brudzeń Duży;52.66798;19.5046077
Plac Jana Pawła II;Łęg Probostwo;52.70926;19.889985
ul. Aleja Jana Pawła II;Gąbin;52.4011532;19.7407365
ul. Świętego Jana Pawła II;Płońsk;52.6298173;20.3520634
ul. Jana Pawła II;Raciąż;52.783691;20.1227711
ul. Jana Pawła II;Siedlin;52.6017371;20.414054275
ul. Jana Pawła II;Strachówko;52.618700575;20.423183775
plac Św. Jana Pawła II;Sochocin;52.6897;20.4712465
pl. Jana Pawła II;Pruszków;52.164935575;20.8081023259569
ul. Plac św. Jana Pawła II;Brwinów;52.139830784518125;20.71490381007965
ul. Jana Pawła II;Żółwin;52.1141;20.7272351
ul. Aleja Jana Pawła II;Komorów;52.14148;20.8144141
ul. Aleja Jana Pawła II;Przasnysz;53.0220501;20.9027970274912
ul. Jana Pawła II;Chorzele;53.2412495;20.8993017
ul. Aleja Jana Pawła II;Przysucha;51.35920065;20.632002803208
ul. Aleja Jana Pawła II;Pokrzywnica;52.6175;21.0195943
ul. Jana Pawła II;Pułtusk;52.69928;21.0783915
Rondo Jana Pawła II;Pułtusk;52.7003176;21.0774073
Plac Jana Pawła II;Winnica;52.6432286;20.9407978595703
ul. Jana Pawła II;Zatory;52.60527735;21.1868440343007
ul. Aleja Jana Pawła II;Pionki;51.47344;21.4455835
ul. Jana Pawła II;Jedlnia-Letnisko;51.428435;21.34084
ul. Jana Pawła II;Kowala-Stępocina;51.32336;21.0825747
ul. Jana Pawła II;Parznice;51.3232759;21.0958973
ul. Jana Pawła II;Walentynów;51.32448;21.0985231
ul. Plac Jana Pawła II;Wierzbica;51.24896;21.0827199
ul. Jana Pawła II;Mleczków;51.430465075;21.0417051208335
ul. Jana Pawła II;Paprotnia;52.2995888;22.4698853
ul. Jana Pawła II;Stare Opole;52.1740414;22.1689521301167
ul. Jana Pawła II;Zbuczyn;52.0837161;22.4395046
ul. Jana Pawła II;Sierpc;52.854742225;19.6574811466489
ul. Jana Pawła II;Gozdowo;52.7229265;19.6853109
ul. Jana Pawła II;Ligowo;52.8258754;19.4772603
ul. Jana Pawła II;Rościszewo;52.9007885;19.7748944
ul. Jana Pawła II;Borkowo Kościelne;52.8454268;19.7142069
Rondo Jana Pawła II;Sochaczew;52.25406;20.2751009
Skwer im. Jana Pawła II;Sochaczew;52.22992;20.2369873
Trakt św. Jana Pawła II;Elżbietów;52.1752;20.3795647
Trakt św. Jana Pawła II;Gaj;52.18322;20.3818887
Trakt św. Jana Pawła II;Szymanów;52.16442;20.3686709
Trakt św. Jana Pawła II;Teresin;52.19336;20.3841836
Trakt św. Jana Pawła II;Teresin-Gaj;52.19336;20.3841836
ul. Jana Pawła II;Sokołów Podlaski;52.4095728;22.2525638
ul. Aleja Jana Pawła II;Wirów;52.44012;22.5373115
ul. Jana Pawła II;Jastrząb;51.2456824;20.94957005
ul. Jana Pawła II;Błonie;52.193691025;20.6152519297154
ul. Jana Pawła II;Węgrów;52.40208;22.0256829
ul. Jana Pawła II;Korytnica;52.4121756;21.8422633
