name;location;longitude;latitude
pl. Skwer im. Jana Pawła II;Mąkoszyce;50.9416985;17.6372828
Aleja Jana Pawła II;Wiechowice;49.9811637;17.867334
ul. Jana Pawła II;Głubczyce;49.9808605;17.86721875
ul. Aleja Jana Pawła II;Bogdanowice;50.16354825;17.8357107786345
ul. Jana Pawła II;Dobiercice;51.07208115;18.2502303669597
ul. Jana Pawła II;Kluczbork;50.9820567;18.2143617820365
ul. Jana Pawła II;Bogacica;50.96787585;18.1400307610104
ul. Jana Pawła II;Łowkowice;51.033783475;18.2420261015705
Aleja Jana Pawła II;Krapkowice;50.49589295;17.9689493108931
pl. Skwer Jana Pawła II;Świerczów;50.96031428500169;17.760180312142325
ul. Aleja Jana Pawła II;Głuchołazy;50.30998735;17.3822024539564
Rondo Jana Pawła II;Nysa;50.4707796;17.3364995
ul. Jana Pawła II;Paczków;50.4642998;17.0141077135512
ul. Jana Pawła II;Kowale;51.0698722;18.47155265
ul. Jana Pawła II;Kup;50.816653;17.8852498
ul. św. Jana Pawła II;Stare Kolnie;50.844385925;17.6748511112538
ul. Jana Pawła II;Boguszyce;50.5926158;17.93524
ul. Jana Pawła II;Głogówek;50.3537164;17.8702992964569
ul. Jana Pawła II;Łąka Prudnicka;50.31000635;17.5275664914476
ul. Jana Pawła II;Kolonowskie;50.6621481;18.3533489196982
Aleja Jana Pawła II;Góra Świętej Anny;50.4540588;18.1709067
Plac Jana Pawła II;Głubczyce;50.2013668259258;17.828481457657098
Plac Jana Pawła II;Opawica;50.1470411;17.6076685
Plac Jana Pawła II;Opole;50.6683145;17.9322742
ul. Jana Pawła II;Strzeleczki;50.45943480453434;17.860925339055225
ul. Aleja Jana Pawła II;Strzelce Opolskie;50.50877;18.2849235
Plac Jana Pawła II;Nysa;50.476194;17.335888
ul. Plac Jana Pawła II;Otmuchów;50.46533505;17.1706616167384
ul. Jana Pawła II;Namysłów;51.06873898137625;17.71833510276546
rondo Jana Pawła II;Kamienna;51.07362681424492;17.758125095220112
rondo Jana Pawła II;Pokój;50.902489304737344;17.837297091594348
ul. Jana Pawła II;Brzeg;50.856562067760656;17.467780256051416
ul. Aleja Jana Pawła II;Kędzierzyn-Koźle;50.34871531561963;18.22160446653888
ul. Jana Pawła II;Bierawa;50.292072421866344;18.242754385542906
ul. Jana Pawła II;Stara Kuźnia;50.29895329597654;18.342402256199694
