name;location;longitude;latitude
al. Jana Pawła II;Augustów;53.8510805;22.9614784
ul. Jana Pawła II;Kleosin;53.095583125;23.1100121903388
ul. św. Jana Pawła II;Michałowo;53.03827405;23.61439655
ul. Jana Pawła II;Wasilków;53.2027;23.2122302
ul. Świętego Jana Pawła II;Jurowce;53.2006079;23.1642763
ul. Jana Pawła II;Bielsk Podlaski;52.75964;23.1765277
pl. im. Jana Pawła II;Bielsk Podlaski;52.77052;23.1922147
ul. Jana Pawła II;Brańsk;52.742272075;22.8358916284112
ul. Jana Pawła II;Mień;52.77223085;22.69776955
ul. św. Jana Pawła II;Grajewo;53.63638;22.4782819
Rondo Świętego Jana Pawła II;Hajnówka;52.7393688;23.5817264
ul. Jana Pawła II;Turośl;53.383960975;21.7316481
ul. Jana Pawła II;Nowogród;53.2240629;21.87155135
ul. Jana Pawła II;Wizna;53.19607245;22.3860566099092
pl. Świętego Jana Pawła II;Knyszyn;53.3095836;22.9122624
ul. Plac Jana Pawła II;Siemiatycze;52.4280351;22.8620612
ul. Jana Pawła II;Drohiczyn;52.4004823;22.647850353857
ul. Jana Pawła II;Dąbrowa Białostocka;53.65502165;23.34358965
ul. Jana Pawła II;Sokółka;53.397811925;23.5179912583056
ul. Jana Pawła II;Wysokie Mazowieckie;52.9192;22.5186905
pl. Jana Pawła II;Ciechanowiec;52.6822;22.4943175
Rondo Jana Pawła II;Czyżew;52.7975923;22.3124818
ul. Papieża Jana Pawła II;Szepietowo;52.87015885;22.548367225
ul. Papieża Jana Pawła II;Zambrów;52.987006175;22.252520925
Plac Jana Pawła II;Białystok;53.13194;23.1654597
Aleja Jana Pawła II;Białystok;53.1421137;23.097604705426
ul. Papieża Jana Pawła II;Suwałki;54.111495125;22.938372481755
Plac Papieża Jana Pawła II;Czarna Białostocka;53.29838;23.2864239
Plac Jana Pawła II;Jedwabne;53.2861962;22.3032167
Plac Papieża Jana Pawła II;Łomża;53.1788036;22.0758732
