name;location;longitude;latitude
rondo św. Jana Pawła II;Czarnków;52.89904;16.5588215
ul. Jana Pawła II;Śmieszkowo;52.8885113;16.58696705
ul. Św. Jana Pawła II;Drawski Młyn;52.85914645;16.08388505
ul. Jana Pawła II;Krzyż Wielkopolski;52.87772;16.0131173
Park Miejski im. Jana Pawła II;Krzyż Wielkopolski;52.87864;16.0118681
ul. Jana Pawła II;Dębe;52.87657775;16.5415319
pl. Koronacyjny im. Papieża Jana Pawła II;Lubasz;52.85214;16.5248911
ul. Karola Wojtyły;Trzcianka;52.3845242;16.3776619
ul. Jana Pawła II;Wieleń;52.91540815;16.1861977
ul. Papieża Jana Pawła II;Gniezno;52.53582;17.604302
os. Papieża Jana Pawła II;Czerniejewo;52.43026175;17.48437065
ul. Ojca Świętego Jana Pawła II;Żydowo;52.4582;17.59175
skwer św. Jana Pawła II;Trzemeszno;52.56283973349723;17.82884908209963
ul. Jana Pawła II;Witkowo;52.43784;17.7700032
rondo im. Jana Pawła II;Witkowo;52.43606;17.7740992
ul. Jana Pawła II;Gostyń;51.880174525;17.0268148933551
skwer im. Jana Pawła II;Pogorzela;51.82224;17.2294408
ul. Jana Pawła II;Kotlin;51.9222275;17.64849
ul. Jana Pawła II;Zduny;51.73991685;18.163011
ul. Jana Pawła II;Baranów;51.2802327;18.0135359
Aleja Jana Pawła II;Bralin;51.27292;17.9054343
ul. Jana Pawła II;Trzcinica;51.1708526;18.0096051426984
ul. Aleja Jana Pawła II;Koło;52.20392;18.6438853
ul. Świętego Jana Pawła II;Sokołowo;52.2707362;18.6879161
ul. Jana Pawła II;Kościelec;52.1770037;18.5499552
ul. Jana Pawła II;Kleczew;52.3706951;18.1854433
Skwer Jana Pawła II;Kościan;52.08082;16.6419045
Plac Ojca Świętego Jana Pawła II;Głuchowo;52.178711675;16.710168379807
rondo im. Jana Pawła II;Krzywiń;51.9615664;16.8207763
ul. Ojca Świętego Jana Pawła II;Śmigiel;52.014733175;16.5201159604383
ul. Jana Pawła II;Sulmierzyce;51.61234;17.5120973
ul. Jana Pawła II;Koźmin Wielkopolski;51.830584825;17.4509318489934
Plac Jana Pawła II;Krotoszyn;51.695106175;17.4354096009531
ul. Jana Pawła II;Rydzyna;51.790602775;16.659683175
ul. św. Jana Pawła II;Międzychód;52.59756;15.9079853
park Świętego Jana Pawła II;Sieraków;52.6496344;16.0812458
ul. Jana Pawła II;Nowy Tomyśl;52.3136;16.1306245
ul. Jana Pawła II;Opalenica;52.3094618;16.4109333797749
Plac Jana Pawła II;Rogoźno;52.7477323;17.0022447097456
Rondo Jana Pawła II;Ostrów Wielkopolski;51.6449686;17.8231906
ul. Jana Pawła II;Nowe Skalmierzyce;51.7076049;17.9910293
al. Jana Pawła II;Odolanów;51.57728;17.6642321
ul. Jana Pawła II;Dobrzec;51.42212635;17.5529419064585
skwer Jana Pawła II - Papieża Polaka;Grabów nad Prosną;51.50784;18.1163373
ul. Jana Pawła II;Ostrzeszów;51.42412;17.9155146
Rondo Jana Pawła II;Piła;53.1516298;16.73640095
ul. aleja Jana Pawła II;Piła;53.1516498;16.7358792
pl. Jana Pawła II;Kaczory;53.09743035;16.8847415451344
ul. Jana Pawła II;Stara Łubianka;53.23122025;16.67615055
Plac Świętego Jana Pawła II;Wysoka;53.18121845;17.0853565213262
ul. Jana Pawła II;Gołuchów;51.8499753;17.9320226878027
ul. Plac Wolności im. Jana Pawła II;Pleszew;51.8891567;17.7839001
Aleja Jana Pawła II;Luboń;52.344316425;16.8825978065691
ul. Jana Pawła II;Buk;52.3496;16.5174253
ul. Jana Pawła II;Wielka Wieś;52.3642305;16.5342599
ul. Jana Pawła II;Czerwonak;52.45702;16.9935548
skwer im. Jana Pawła II;Koziegłowy;52.45002;16.9940777
ul. Jana Pawła II;Kostrzyn;52.38784;17.2195928
Skwer Jana Pawła II;Kostrzyn;52.39834;17.223195
Rondo im. Jana Pawła II;Stęszew;52.2779574;16.687807
ul. Jana Pawła II;Miejska Górka;51.6553403;16.9530881
Rondo Jana Pawła II;Słupca;52.2426831;18.0925831
ul. Aleja Jana Pawła II;Obrzycko;52.70745285;16.5229453
ul. Jana Pawła II;Duszniki;52.445883425;16.4061886601884
ul. Jana Pawła II;Kaźmierz;52.5126607;16.5861825450001
al. Jana Pawła II;Szamotuły;52.61144;16.5862157
ul. Jana Pawła II;Wronki;52.7069656;16.3865937
rondo Jana Pawła II;Środa Wielkopolska;52.2228814;17.2811766
ul. Jana Pawła II;Książ Wielkopolski;52.060021825;17.2369691520823
Rondo św. Jana Pawła II;Śrem;52.08266;17.0090675
Skwer Jana Pawła II;Turek;52.01594;18.5149033
Aleja Jana Pawła II;Turek;52.02296785;18.50547755
ul. Jana Pawła II;Tuliszków;52.0791291;18.2840024
ul. Jana Pawła II;Felicjanów;52.09788;18.4587206
ul. Jana Pawła II;Władysławów;52.09851245;18.458142
ul. Jana Pawła II;Wyszyna;52.1394849;18.4052423
ul. Aleja Jana Pawła II;Wągrowiec;52.80484;17.1994902
ul. Jana Pawła II;Skoki;52.67128175;17.1548169663911
