name,location,longitude,latitude
Obala Ivana Pavla II,"Dubrownik, Chorwacja",42.66184827244543,18.085059522630402
Trg Ivana Pavla II,"Marija Bistrica, Chorwacja",46.00509645,16.1186954329008
Trg pape Ivana Pavla II,"Zaprešić, Chorwacja",45.43750665,17.1949759000423
Trg pape Ivana Pavla II,"Osijek, Chorwacja",45.43750665,17.1949759000423
Šetalište pape Ivana Pavla II,"Split, Chorwacja",43.50348795,16.4763773
Poljana Pape Ivana Pavla II,"Zadar, Chorwacja",44.1157276,15.2238399
Náměstí Jana Pavla II,"Hradec Králové, Czechy",50.2087347,15.83022415
II. János Pál pápa tér,"Budapest, Włochy",47.49687035,19.0767411802777
II. János Pál pápa tér,"Dunaújváros, Włochy",46.9678569,18.9337114
Námestie Jána Pavla II,"Bratislava, Słowacja",48.11180315,17.1030540609629
Námestie Jána Pavla II,"Žilina, Słowacja",49.2145714,18.8509273
Námestie Jána Pavla II,"Michalovce, Słowacja",48.7647412,21.9256827
Plaça de Joan Pau II,"Cerdanyola del Vallès, Hiszpania",41.4795562,2.0895088
Piazza Giovanni Paolo II,"Cesena, Włochy",44.1378103060697,12.2450345875888
Praça João Paulo II,"Coimbra, Portugalia",40.207022,-8.4200224
Piazza Giovanni Paolo II,"Frosinone, Włochy",41.7423941,13.1588076
Piazza Giovanni Paolo II,"Montescaglioso, Włochy",40.55790185,16.66426705
Place Jean-Paul II,"Metz, Francja",49.119285,6.174746
Piazza Giovanni Paolo II,"Palermo, Włochy",38.151948,13.338053
Piazza Giovanni Paolo II,"Ponte San Nicolò, Włochy",45.317165,11.862979
Jono Pauliaus II aikste,"Vilnius, Litwa",54.69339695592101,25.30514568411417
Ulica Ivana Pavla II.,"Bihać, Bośnia i Hercegowina",44.81383412456691,15.869398804783746
Ulica Ivana Pavla II.,"Gornji Vakuf-Uskoplje, Bośnia i Hercegowina",43.9340767,17.5766246
Ulica sv. Ivana Pavla II.,"Ljubuški, Bośnia i Hercegowina",43.1878894,17.5564519
Ulica Ivana Pavla II.,"Međugorje, Bośnia i Hercegowina",43.19349618464072,17.678640229791082
Ulica Ivana Pavla II.,"Posušje, Bośnia i Hercegowina",43.4730004,17.3347543
Via Giovanni Paolo II,"Altopascio, Włochy",43.8102767,10.67848965
Via Giovanni Paolo II,"Noceto, Włochy",44.81431,10.17169
Via Giovanni Paolo II,"Montevago, Włochy",40.133835,18.37913
Via Giovanni Paolo II,"Otranto, Włochy",40.14692742,18.48690382
Via Giovanni Paolo II,"Pieve a Nievole, Włochy",43.872229,10.8023
Via Giovanni Paolo II,"Vercelli, Włochy",45.1181186797405,9.83887922322823
Via Giovanni Paolo II,"Fiumefreddo di Sicilia, Włochy",37.799451,15.214252
Via Giovanni Paolo II,"Solarino, Włochy",37.1023224,15.1194752
Circuito Juan Pablo II,"Puebla City, Meksyk",19.024489,-98.215766
Avenida Juan Pablo II,"Mexico City, Meksyk",19.3591677,-99.1847512
Avenida Juan Pablo II,"Guadalajara, Meksyk",20.6995639,-103.2912477
Blvd Juan Pablo II,"Ciudad Juárez, Meksyk",31.6734072,-106.3407092
Avenida Juan Pablo II,"Monterrey, Meksyk",25.6596521,-100.3261398
Blvd. Juan Pablo II,"Chihuahua, Meksyk",28.6507205,-106.0111533
Ulica Jána Pavla II.,"Prešov, Słowacja",48.9847427,21.2376852337437
Ulica Jána Pavla II.,"Košice, Słowacja",48.72057885,21.2115382412209
Ulica Jána Pavla II.,"Detva, Słowacja",48.5472099,19.4038611
Nábrežie Jána Pavla II.,"Poprad, Słowacja",49.0562112,20.298266
Pope John Paul II Drive,"Chicago, IL, United States",41.815795,-87.6942675
Johannes-Paul-II.-Straße,"Aachen, Germany",50.7749648,6.08290175
Avenida Juan Pablo II,"El Alto, Bolivia",-16.4975731,-68.1843629
Alameda Juan Pablo II,"San Salvador, Salwador",13.7020178,-89.1887029046504
Avenida João Paulo II Drive,"Lisbon, Portugalia",38.7316804,-9.23402573866198
Rua João Paulo II,"Funchal, Madeira, Portugalia",32.6386588,-16.9389716
Rue Jean-Paul-II,"Sherbrooke, Kanada",45.38757925,-71.91733355
Rue Jean-Paul-II,"Montréal, Kanada",45.5862646,-73.62039695
Rue Jean-Paul II,"Cholet, Francja",47.060395,-0.881554
Parvis Jean-Paul II,"Cholet, Francja",47.060897,-0.881643
Ulica Janeza Pavla II,"Ljubljana, Słowenia",46.0489607,14.5146162601882
John Paul II street,"Kyiv, Ukraina",50.4193184,30.5345256517737
Av. Juan Pablo II,"Trujillo, Peru",-8.121861104996059,-79.04248015986379
Triq Gwanni Pawlu II,"Victoria, Malta",35.86671906963085,14.56570851789859
Puente Juan Pablo II,"Concepción, Chile",-36.81851785239253,-73.08658669921057
Autop. Juan Pablo II,Dominikana,18.498309029033198,-69.73296157335511
Rruga Papa Gjon Pali II,"Tirana, Albania",41.32189237093253,19.822820427166608
Rruga Papa Gjon Pali II,"Ulëz, Albania",41.68343523343719,19.894368070267408
Ivana Pavla II,"Mościska, Ukraina",49.792965637248614,23.150064147799593
Ivana Pavla II,"Iwano-Frankiwsk, Ukraina",48.93204111063981,24.739528841615073
Ivana Pavla II,"Chmielnicki, Ukraina",49.44152084125343,26.920213174937302
Avenue Jean Paul II,"Port-au-Prince, Haiti",18.53417168594511,-72.32836478903202
Calle Juan Pablo II,Puebla,18.1292263,-98.088029
Calle Juan Pablo II,Heredia,10.0171606,-84.1292056
Privada Juan Pablo II,Puebla,18.9749441,-97.8969618
Calle Juan Pablo II,Puebla,18.2290262,-98.0436758
Rua Juan Pablo Duarte,Rio de Janeiro,-22.7872572,-43.1841978
Juan Pablo II,Montevideo,-34.8293663,-56.2313595
Juan Pablo II,Florida,-34.0880421,-56.2326603
Juan Pablo II,Salto,-31.3982254,-57.983405
Juan Pablo II,Misiones,-26.9916424,-54.4702625
Juan Pablo II,Misiones,-25.6269539,-54.575213
Calle Juan Pablo II,San Miguel,13.4799147,-88.1942344
Juan Pablo II,San Salvador,13.7143359,-89.2430266
Juan Pablo II,Jujuy,-24.2107094,-65.2623464
Avenida Juan Pablo II,Seville,37.3692298307033,-6.00920600283042
Calle Juan Pablo II,Puebla,19.2884069,-98.4452402
Juan Pablo II,Panamá,8.9935648,-79.5406261
Calle Juan Pablo II,Chiriquí,8.458485450000001,-82.41878745
Rotonda Juan Pablo II,San José,9.9503739,-84.1117996
Calle Juan Pablo II,Guanajuato,21.3192758,-100.5664187
Juan Pablo II,San Luis,-32.5054177,-64.9940307
Calle Juan Pablo II,San Luis Potosí,21.8188861,-100.7264121
Calle Juan Pablo II,San Luis Potosí,23.6092892,-100.9896248
Juan Pablo II,Tlaxcala,19.4279925,-98.1297224
Rua Joao Paulo II,Rio Grande do Norte,-5.782973,-35.3292194
Calle Juan Pablo II,Santa Cruz de Tenerife,28.4787152104671,-16.4120366163786
Calle Juan Pablo II,Coahuila,28.685724,-100.5778224
Calle Juan Pablo II,Santa Cruz de Tenerife,28.4681982258599,-16.2589140456043
Calle Juan Pablo II,León,42.5854279075441,-5.56058018232484
Calle Juan Pablo II,Veracruz,18.4733342,-95.30035555
Calle Juan Pablo II,Oaxaca,17.5280917,-97.3413643
Calle Juan Pablo II,Valladolid,41.4827957563355,-4.77207426375182
Puente Juan Pablo II,Málaga,36.7107331768261,-4.4387647288889
Avenida De Juan Pablo II,Cáceres,39.4516917698292,-6.38266065434918
Calle Juan Pablo II,Toledo,40.0098102,-4.6839749
Juan Pablo II,Magallanes y la Antártica Chilena,-54.933367,-67.607241
Calle Juan Pablo II,Hidalgo,20.0813961,-98.3787273
Juan Pablo II,Entre Ríos,-32.1722422,-60.20768495
Calle Juan Pablo II,Ávila,40.6026792718734,-4.33487066059222
Calle Juan Pablo II,Ávila,40.4128258,-4.7013032
Calle Juan Pablo II,Madrid,40.3397346789962,-3.23401222799981
Calle Juan Pablo II,Guadalajara,40.6962333609961,-3.43721026699984
Calle De Juan Pablo II,Madrid,40.421416,-3.5361449
Calle Juan Pablo II,Santa Cruz de Tenerife,28.0786889,-16.5610163
Juan Pablo II,Neuquén,-38.8156903,-68.1536233
Juan Pablo II,Valparaíso,-33.062195,-71.563896
Calle Juan Pablo II,Oaxaca,17.8039712,-96.8699661
Calle Juan Pablo II,Santo Domingo,18.5241179,-69.7812373
Juan Pablo II,Salta,-22.498509,-63.8026566
Calle Juan Pablo II,Veracruz,18.8215748,-97.0869093
Rua Joao Paulo II,Mato Grosso,-15.1310603,-58.1318079
Juan Pablo II,Misiones,-27.9958603,-55.5275826
Avenida Juan Pablo II,Misiones,-27.9270368,-55.7474229
Avenida Juan Pablo II,Misiones,-27.4341431,-55.8717915
Juan Pablo II,Libertador General Bernardo O'Higgins,-34.443035,-71.085648
Avenida Juan Pablo II,Buenos Aires Province,-35.030225,-58.4483381
Juan Pablo II,Valparaíso,-32.861501,-70.626498
Calle Juan Pablo II,Durango,23.9764585,-104.7043741
Colectora Juan Pablo II,Santa Fe,-32.9477538,-60.7205633
Juan Pablo II,Santa Fe,-32.8776748,-60.7060352
Cl Juan Pablo II,Zaragoza,41.3482936,-1.6374122
Calle Juan Pablo II,Burgos,41.6777217,-3.6863108
Calle Juan Pablo II,Tlaxcala,19.1471281,-98.1526905
Juan Pablo II,Santiago Metropolitan Region,-33.628582,-70.597763
Juan Pablo II,Los Ríos,-39.536377,-72.949318
Calle Juan Pablo II,San José,9.3298344,-83.7023908
Juan Pablo II,Santiago Metropolitan Region,-33.573294,-70.823804
Calle Juan Pablo I,Las Palmas,27.9885915,-15.7906671
Avenida Juan Pablo II,Las Palmas,28.1138078,-15.6689874
Privada Juan Pablo II,Puebla,18.7993207,-97.6572171
Calle San Juan Pablo II,La Rioja,42.4598398492001,-2.43278990418993
Privada Juan Pablo II,Puebla,19.2433132,-98.4114086
Calle Juan Pablo II,México,19.8509196,-98.738866
Juan Pablo II,Santiago Metropolitan Region,-33.402981,-70.708946
Juan Pablo II,Santiago Metropolitan Region,-33.361843,-70.711823
Juan Pablo II,Santander,7.1048459,-73.1284402
Calle Juan Pablo II,Peravia,18.2501002,-70.2016347
Autopista Juan Pablo II,Duarte,19.1638352,-69.8334045
Avenida De Juan Pablo II,Seville,37.3326167,-6.1410385
Juan Pablo II,Mendoza,-33.5950473,-69.0084764
Calle Juan Pablo II,Alicante,38.1714671,-0.9608822
Calle Juan Pablo II,Guanajuato,20.4846875,-100.6505331
Juan Pablo II,Santiago Metropolitan Region,-33.562645,-70.608856
Calle Juan Pablo II,León,42.3119896,-5.9752368
Juan Pablo II,Santa Cruz,-50.3484077,-72.2819575
Juan Pablo II,Los Lagos,-41.122066,-73.050992
Juan Pablo II,Los Lagos,-41.391618,-73.46884
Juan Pablo II,Los Lagos,-42.623504,-73.779987
Juan Pablo II,Los Lagos,-41.880302,-73.823868
Privada Juan Pablo II,Jalisco,21.3672579,-101.9398072
Juan Pablo II,Córdoba,-31.1756131,-64.315971
Juan Pablo II,Córdoba,-30.1555075,-63.5973888
Juan Pablo II,Córdoba,-31.911258,-63.670423
Juan Pablo II,Chaco,-26.8040336,-60.8506075
Juan Pablo II,Valparaíso,-33.367046,-71.658813
Alameda Juan Pablo II,San Salvador,13.7020178,-89.1887029046504
Juan Pablo II,Valparaíso,-32.839256,-70.615265
Calle Juan Pablo II,Puebla,19.0263714,-98.3431228
Calle Juan Pablo II,Junín,-11.0416675,-75.3235985
Juan Pablo II,Maule,-35.832126,-71.591765
Colina Juan Pablo II,Limón,9.9869273,-83.0574571
Calle Juan Pablo II,Tacna,-18.0459754,-70.2549254
Avenida Juan Pablo II,Chuquisaca,-19.0155493,-65.2819498
Andador Juan Pablo II,Colima,19.2693219,-103.7324735
Juan Pablo II,Araucanía,-38.852924,-71.700182
Juan Pablo II,Araucanía,-38.871903,-72.397236
Juan Pablo II,Araucanía,-37.788189,-72.69136
Juan Pablo II,Araucanía,-38.4098485,-72.7889145
Juan Pablo II,Araucanía,-38.753017,-72.93972
Cl Juan Pablo II,Toledo,39.8027022,-3.9881167
Calle Juan Pablo II,Toledo,39.589252019912,-3.03204953192864
Calle Juan Pablo II,Toledo,39.674528581679,-3.02508016726927
Calle Juan Pablo II,Toledo,39.6004491221336,-3.1173926203546
Calle Juan Pablo II,Toledo,39.6213047,-3.3322108
Calle Juan Pablo II,Granada,36.7724233431977,-3.56436681627847
Calle Juan Pablo II,Granada,36.7848566496658,-3.60817242577125
Calle Juan Pablo II,Santa Cruz de Tenerife,28.3411545134747,-16.420431061072
Juan Pablo II,Entre Ríos,-31.5825412,-60.0693475
Colectora Juan Pablo II,Misiones,-26.6222723,-54.1207173
Juan Pablo II,Buenos Aires Province,-34.9441698,-58.6216377
Juan Pablo II,Buenos Aires Province,-37.7343917,-61.3213588
Juan Pablo II,Buenos Aires Province,-37.612006449999996,-62.3891728
Juan Pablo I,Buenos Aires Province,-34.7071389,-58.4784028
Calzada Juan Pablo II,Guatemala,14.593207,-90.5288343
Juan Pablo II,Santiago Metropolitan Region,-33.559578,-70.570091
Juan Pablo II,Salta,-23.3132001,-64.2173911
Juan Pablo II,Salta,-25.4971196,-64.9651196
Avenida De Juan Pablo II,Region of Murcia,37.9621583250356,-1.11369304433783
Avenida Juan Pablo II,México,19.6683352,-99.1536248
Pasaje Juan Pablo II,Bío Bío,-37.000477,-73.156921
Rua Joao Paulo II,Minas Gerais,-20.9835383,-43.7570867
Rua Joao Paulo II,Minas Gerais,-20.1127668,-44.8733004
Juan Pablo II,Maule,-35.592773,-71.72892
Rua Joao Paulo II,Espírito Santo,-18.7706448,-40.8974314
Calle Juan Pablo II,Santa Cruz,-17.8495401,-63.2141956
